project,annotation_question,num_reviews_yes,num_reviews_no,annotator_id,num_annotated_reviews,avg_lead_time_annotator_in_s,avg_agreement_annotator
Assassin's Creed Unity,is-review-bombing,2,13,9365,15,30.09,90.74
Assassin's Creed Unity,criticism-praise-ideological,1,14,9365,15,30.09,90.74
Assassin's Creed Unity,criticism-praise-developer-publisher,3,12,9365,15,30.09,90.74
Assassin's Creed Unity,criticism-praise-game-content,14,1,9365,15,30.09,90.74
Assassin's Creed Unity,criticism-praise-political,0,15,9365,15,30.09,90.74
Assassin's Creed Unity,is-rating-game-related,14,1,9365,15,30.09,90.74
Assassin's Creed Unity,criticism-praise-developer-publisher,6,24,9368,30,26.87,95.56
Assassin's Creed Unity,criticism-praise-ideological,0,30,9368,30,26.87,95.56
Assassin's Creed Unity,criticism-praise-political,0,30,9368,30,26.87,95.56
Assassin's Creed Unity,is-rating-game-related,6,24,9368,30,26.87,95.56
Assassin's Creed Unity,criticism-praise-game-content,22,8,9368,30,26.87,95.56
Assassin's Creed Unity,is-review-bombing,14,16,9368,30,26.87,95.56
Assassin's Creed Unity,criticism-praise-ideological,25,10,9627,35,46.19,100.0
Assassin's Creed Unity,criticism-praise-political,2,33,9627,35,46.19,100.0
Assassin's Creed Unity,criticism-praise-game-content,26,9,9627,35,46.19,100.0
Assassin's Creed Unity,is-review-bombing,17,18,9627,35,46.19,100.0
Assassin's Creed Unity,criticism-praise-developer-publisher,3,32,9627,35,46.19,100.0
Assassin's Creed Unity,is-rating-game-related,23,12,9627,35,46.19,100.0
Assassin's Creed Unity,criticism-praise-developer-publisher,0,20,9754,20,24.94,93.33
Assassin's Creed Unity,criticism-praise-political,0,20,9754,20,24.94,93.33
Assassin's Creed Unity,criticism-praise-ideological,6,14,9754,20,24.94,93.33
Assassin's Creed Unity,is-review-bombing,0,20,9754,20,24.94,93.33
Assassin's Creed Unity,is-rating-game-related,19,1,9754,20,24.94,93.33
Assassin's Creed Unity,criticism-praise-game-content,19,1,9754,20,24.94,93.33
Assassin's Creed Unity,criticism-praise-developer-publisher,6,14,10389,20,30.74,100.0
Assassin's Creed Unity,criticism-praise-political,0,20,10389,20,30.74,100.0
Assassin's Creed Unity,is-rating-game-related,18,2,10389,20,30.74,100.0
Assassin's Creed Unity,is-review-bombing,7,13,10389,20,30.74,100.0
Assassin's Creed Unity,criticism-praise-game-content,17,3,10389,20,30.74,100.0
Assassin's Creed Unity,criticism-praise-ideological,6,14,10389,20,30.74,100.0
Assassin's Creed Unity,criticism-praise-developer-publisher,5,10,11478,15,53.24,81.48
Assassin's Creed Unity,is-review-bombing,6,9,11478,15,53.24,81.48
Assassin's Creed Unity,criticism-praise-game-content,13,2,11478,15,53.24,81.48
Assassin's Creed Unity,is-rating-game-related,12,3,11478,15,53.24,81.48
Assassin's Creed Unity,criticism-praise-ideological,4,11,11478,15,53.24,81.48
Assassin's Creed Unity,criticism-praise-political,0,15,11478,15,53.24,81.48
