project,annotation_question,num_reviews_yes,num_reviews_no,annotator_id,num_annotated_reviews,avg_lead_time_annotator_in_s,avg_agreement_annotator
Firewatch,is-review-bombing,6,9,9365,15,34.25,86.3
Firewatch,criticism-praise-ideological,4,11,9365,15,34.25,86.3
Firewatch,criticism-praise-developer-publisher,6,9,9365,15,34.25,86.3
Firewatch,criticism-praise-game-content,13,2,9365,15,34.25,86.3
Firewatch,criticism-praise-political,2,13,9365,15,34.25,86.3
Firewatch,is-rating-game-related,14,1,9365,15,34.25,86.3
Firewatch,criticism-praise-developer-publisher,19,11,9368,30,20.44,96.67
Firewatch,criticism-praise-ideological,18,12,9368,30,20.44,96.67
Firewatch,criticism-praise-political,0,30,9368,30,20.44,96.67
Firewatch,is-rating-game-related,11,19,9368,30,20.44,96.67
Firewatch,criticism-praise-game-content,20,10,9368,30,20.44,96.67
Firewatch,is-review-bombing,19,11,9368,30,20.44,96.67
Firewatch,criticism-praise-ideological,27,8,9627,35,45.69,100.0
Firewatch,criticism-praise-political,5,30,9627,35,45.69,100.0
Firewatch,criticism-praise-game-content,19,16,9627,35,45.69,100.0
Firewatch,is-review-bombing,25,10,9627,35,45.69,100.0
Firewatch,criticism-praise-developer-publisher,20,15,9627,35,45.69,100.0
Firewatch,is-rating-game-related,18,17,9627,35,45.69,100.0
Firewatch,criticism-praise-developer-publisher,10,10,9754,20,20.85,86.67
Firewatch,criticism-praise-political,1,19,9754,20,20.85,86.67
Firewatch,criticism-praise-ideological,5,15,9754,20,20.85,86.67
Firewatch,is-review-bombing,10,10,9754,20,20.85,86.67
Firewatch,is-rating-game-related,17,3,9754,20,20.85,86.67
Firewatch,criticism-praise-game-content,17,3,9754,20,20.85,86.67
Firewatch,criticism-praise-developer-publisher,12,8,10389,20,14.18,100.0
Firewatch,criticism-praise-political,1,19,10389,20,14.18,100.0
Firewatch,is-rating-game-related,14,6,10389,20,14.18,100.0
Firewatch,is-review-bombing,9,11,10389,20,14.18,100.0
Firewatch,criticism-praise-game-content,16,4,10389,20,14.18,100.0
