project,annotation_question,num_reviews_yes,num_reviews_no,annotator_id,num_annotated_reviews,avg_lead_time_annotator_in_s,avg_agreement_annotator
Mortal Kombat 11,is-review-bombing,8,7,9365,15,34.64,89.26
Mortal Kombat 11,criticism-praise-developer-publisher,8,7,9365,15,34.64,89.26
Mortal Kombat 11,criticism-praise-political,2,13,9365,15,34.64,89.26
Mortal Kombat 11,is-rating-game-related,15,0,9365,15,34.64,89.26
Mortal Kombat 11,criticism-praise-game-content,15,0,9365,15,34.64,89.26
Mortal Kombat 11,criticism-praise-ideological,4,11,9365,15,34.64,89.26
Mortal Kombat 11,criticism-praise-developer-publisher,19,11,9368,30,38.13,96.11
Mortal Kombat 11,is-review-bombing,22,8,9368,30,38.13,96.11
Mortal Kombat 11,criticism-praise-game-content,20,10,9368,30,38.13,96.11
Mortal Kombat 11,criticism-praise-ideological,16,14,9368,30,38.13,96.11
Mortal Kombat 11,criticism-praise-political,2,28,9368,30,38.13,96.11
Mortal Kombat 11,is-rating-game-related,8,22,9368,30,38.13,96.11
Mortal Kombat 11,criticism-praise-ideological,28,7,9627,35,46.23,100.0
Mortal Kombat 11,criticism-praise-developer-publisher,15,20,9627,35,46.23,100.0
Mortal Kombat 11,is-review-bombing,23,12,9627,35,46.23,100.0
Mortal Kombat 11,criticism-praise-political,1,34,9627,35,46.23,100.0
Mortal Kombat 11,is-rating-game-related,24,11,9627,35,46.23,100.0
Mortal Kombat 11,criticism-praise-game-content,23,12,9627,35,46.23,100.0
Mortal Kombat 11,criticism-praise-developer-publisher,9,11,9754,20,23.91,81.67
Mortal Kombat 11,criticism-praise-political,1,19,9754,20,23.91,81.67
Mortal Kombat 11,is-review-bombing,11,9,9754,20,23.91,81.67
Mortal Kombat 11,criticism-praise-ideological,12,8,9754,20,23.91,81.67
Mortal Kombat 11,is-rating-game-related,19,1,9754,20,23.91,81.67
Mortal Kombat 11,criticism-praise-game-content,16,4,9754,20,23.91,81.67
Mortal Kombat 11,criticism-praise-political,4,16,10389,20,35.95,100.0
Mortal Kombat 11,is-review-bombing,6,14,10389,20,35.95,100.0
Mortal Kombat 11,criticism-praise-game-content,18,2,10389,20,35.95,100.0
Mortal Kombat 11,criticism-praise-developer-publisher,7,13,10389,20,35.95,100.0
Mortal Kombat 11,criticism-praise-ideological,8,12,10389,20,35.95,100.0
Mortal Kombat 11,is-rating-game-related,17,3,10389,20,35.95,100.0
Mortal Kombat 11,criticism-praise-ideological,2,14,11478,16,51.59,64.58
Mortal Kombat 11,is-rating-game-related,5,11,11478,16,51.59,64.58
Mortal Kombat 11,criticism-praise-political,4,12,11478,16,51.59,64.58
Mortal Kombat 11,criticism-praise-developer-publisher,14,2,11478,16,51.59,64.58
Mortal Kombat 11,criticism-praise-game-content,10,6,11478,16,51.59,64.58
Mortal Kombat 11,is-review-bombing,12,4,11478,16,51.59,64.58
Mortal Kombat 11,is-rating-game-related,28,1,11790,29,46.99,66.67
Mortal Kombat 11,criticism-praise-ideological,19,10,11790,29,46.99,66.67
Mortal Kombat 11,is-review-bombing,14,15,11790,29,46.99,66.67
Mortal Kombat 11,criticism-praise-political,3,26,11790,29,46.99,66.67
Mortal Kombat 11,criticism-praise-game-content,20,9,11790,29,46.99,66.67
Mortal Kombat 11,criticism-praise-developer-publisher,18,11,11790,29,46.99,66.67
Mortal Kombat 11,criticism-praise-developer-publisher,9,21,13430,30,27.44,70.0
Mortal Kombat 11,criticism-praise-game-content,30,0,13430,30,27.44,70.0
Mortal Kombat 11,criticism-praise-ideological,21,9,13430,30,27.44,70.0
Mortal Kombat 11,is-rating-game-related,12,18,13430,30,27.44,70.0
Mortal Kombat 11,criticism-praise-political,7,23,13430,30,27.44,70.0
Mortal Kombat 11,is-review-bombing,23,7,13430,30,27.44,70.0
Mortal Kombat 11,is-review-bombing,30,30,15655,60,29.74,100.0
Mortal Kombat 11,criticism-praise-developer-publisher,16,44,15655,60,29.74,100.0
Mortal Kombat 11,criticism-praise-ideological,5,55,15655,60,29.74,100.0
Mortal Kombat 11,criticism-praise-political,8,52,15655,60,29.74,100.0
Mortal Kombat 11,is-rating-game-related,60,0,15655,60,29.74,100.0
Mortal Kombat 11,criticism-praise-game-content,57,3,15655,60,29.74,100.0
Mortal Kombat 11,criticism-praise-game-content,14,1,15657,15,36.81,100.0
Mortal Kombat 11,is-rating-game-related,13,2,15657,15,36.81,100.0
Mortal Kombat 11,criticism-praise-developer-publisher,3,12,15657,15,36.81,100.0
Mortal Kombat 11,criticism-praise-political,5,10,15657,15,36.81,100.0
Mortal Kombat 11,criticism-praise-ideological,7,8,15657,15,36.81,100.0
Mortal Kombat 11,is-review-bombing,10,5,15657,15,36.81,100.0
Mortal Kombat 11,criticism-praise-political,3,27,16195,30,37.6,96.11
Mortal Kombat 11,is-rating-game-related,21,9,16195,30,37.6,96.11
Mortal Kombat 11,criticism-praise-developer-publisher,15,15,16195,30,37.6,96.11
Mortal Kombat 11,is-review-bombing,10,20,16195,30,37.6,96.11
Mortal Kombat 11,criticism-praise-game-content,26,4,16195,30,37.6,96.11
Mortal Kombat 11,criticism-praise-ideological,8,22,16195,30,37.6,96.11
Mortal Kombat 11,is-review-bombing,4,11,17568,15,13.8,74.44
Mortal Kombat 11,criticism-praise-game-content,10,5,17568,15,13.8,74.44
Mortal Kombat 11,criticism-praise-political,1,14,17568,15,13.8,74.44
Mortal Kombat 11,is-rating-game-related,11,4,17568,15,13.8,74.44
