project,annotation_question,num_reviews_yes,num_reviews_no,annotator_id,num_annotated_reviews,avg_lead_time_annotator_in_s,avg_agreement_annotator
Ukraine-Russia-Support,is-review-bombing,2,13,9365,15,36.78,95.56
Ukraine-Russia-Support,criticism-praise-developer-publisher,3,12,9365,15,36.78,95.56
Ukraine-Russia-Support,criticism-praise-political,2,13,9365,15,36.78,95.56
Ukraine-Russia-Support,is-rating-game-related,13,2,9365,15,36.78,95.56
Ukraine-Russia-Support,criticism-praise-game-content,11,4,9365,15,36.78,95.56
Ukraine-Russia-Support,criticism-praise-ideological,3,12,9365,15,36.78,95.56
Ukraine-Russia-Support,criticism-praise-developer-publisher,9,21,9368,30,26.55,96.11
Ukraine-Russia-Support,is-review-bombing,11,19,9368,30,26.55,96.11
Ukraine-Russia-Support,criticism-praise-game-content,22,8,9368,30,26.55,96.11
Ukraine-Russia-Support,criticism-praise-ideological,0,30,9368,30,26.55,96.11
Ukraine-Russia-Support,criticism-praise-political,10,20,9368,30,26.55,96.11
Ukraine-Russia-Support,is-rating-game-related,4,26,9368,30,26.55,96.11
Ukraine-Russia-Support,criticism-praise-ideological,16,19,9627,35,32.1,100.0
Ukraine-Russia-Support,criticism-praise-developer-publisher,6,29,9627,35,32.1,100.0
Ukraine-Russia-Support,is-review-bombing,12,23,9627,35,32.1,100.0
Ukraine-Russia-Support,criticism-praise-political,10,25,9627,35,32.1,100.0
Ukraine-Russia-Support,is-rating-game-related,20,15,9627,35,32.1,100.0
Ukraine-Russia-Support,criticism-praise-game-content,23,12,9627,35,32.1,100.0
Ukraine-Russia-Support,criticism-praise-developer-publisher,5,15,9754,20,17.75,91.67
Ukraine-Russia-Support,criticism-praise-political,4,16,9754,20,17.75,91.67
Ukraine-Russia-Support,is-review-bombing,4,16,9754,20,17.75,91.67
Ukraine-Russia-Support,criticism-praise-ideological,2,18,9754,20,17.75,91.67
Ukraine-Russia-Support,is-rating-game-related,16,4,9754,20,17.75,91.67
Ukraine-Russia-Support,criticism-praise-game-content,16,4,9754,20,17.75,91.67
Ukraine-Russia-Support,criticism-praise-political,6,14,10389,20,21.25,100.0
Ukraine-Russia-Support,is-review-bombing,7,13,10389,20,21.25,100.0
