project,id,game_name_display,review,review_date,combined_rating,agreement,annotator,lead_time,annotation_created_at,annotation_updated_at,is-review-bombing,is-rating-game-related,criticism-praise-game-content,criticism-praise-developer-publisher,criticism-praise-ideological,criticism-praise-political,review_bomb_reason,review_bomb_type,source,rating,input_ids,review_length
Borderlands - Epic Store,91872210,Borderlands GOTY,Good series thats plagued by very anti customer practices.  I would suggest that no one purchase any future games by 2k and gearbox. practices like this need to be punished with no sales.,03.04.2019 17:51:12,Nicht empfohlen,66.66666666666666,18232,95.047,2024-02-22T13:32:48.413802Z,2024-02-22T13:32:48.413858Z,Ja,Nein,Nein,Ja,Nein,Nein,"Ein paar Monate vor Release von Borderlands 3 wurde von Entwickler ""Gearbox Software"" und Publisher ""2K"" bekannt gegeben, dass Borderlands 3 eine Zeit lang exklusiv im neuen (und kontroversen) Epic Games Store angeboten werden würde, und nicht auf anderen Plattformen wie Steam. Deshalb erhielten ältere Teile der Borderlands - Serie auf Steam und Metacritic negative Reviews.",negativ,Steam,,"[  101  2204  2186  2008  2015 17808  2011  2200  3424  8013  6078  1012
  1045  2052  6592  2008  2053  2028  5309  2151  2925  2399  2011  1016
  2243  1998 22227  1012  6078  2066  2023  2342  2000  2022 14248  2007
  2053  4341  1012   102]",77
Borderlands - Epic Store,91872210,Borderlands GOTY,Good series thats plagued by very anti customer practices.  I would suggest that no one purchase any future games by 2k and gearbox. practices like this need to be punished with no sales.,03.04.2019 17:51:12,Nicht empfohlen,66.66666666666666,17568,9.634,2024-02-08T09:59:02.974277Z,2024-02-08T09:59:02.974295Z,Ja,Nein,Ja,Nein,Nein,Nein,"Ein paar Monate vor Release von Borderlands 3 wurde von Entwickler ""Gearbox Software"" und Publisher ""2K"" bekannt gegeben, dass Borderlands 3 eine Zeit lang exklusiv im neuen (und kontroversen) Epic Games Store angeboten werden würde, und nicht auf anderen Plattformen wie Steam. Deshalb erhielten ältere Teile der Borderlands - Serie auf Steam und Metacritic negative Reviews.",negativ,Steam,,"[  101  2204  2186  2008  2015 17808  2011  2200  3424  8013  6078  1012
  1045  2052  6592  2008  2053  2028  5309  2151  2925  2399  2011  1016
  2243  1998 22227  1012  6078  2066  2023  2342  2000  2022 14248  2007
  2053  4341  1012   102]",77
Borderlands - Epic Store,91872211,Borderlands 2,"Bitterly disappointed with the Borderlands 3 exclusivity announcement on the Epic store. Either Gearbox/2K has completely misunderstood its customer base, or the money Epic paid was worth it.

However, BL2 is a fantastic game. Shame about its publishers recent decisions.",05.04.2019 15:44:52,Nicht empfohlen,83.33333333333334,18232,34.23,2024-02-22T13:33:23.492833Z,2024-02-22T13:33:23.492849Z,Ja,Ja,Ja,Ja,Nein,Nein,"Ein paar Monate vor Release von Borderlands 3 wurde von Entwickler ""Gearbox Software"" und Publisher ""2K"" bekannt gegeben, dass Borderlands 3 eine Zeit lang exklusiv im neuen (und kontroversen) Epic Games Store angeboten werden würde, und nicht auf anderen Plattformen wie Steam. Deshalb erhielten ältere Teile der Borderlands - Serie auf Steam und Metacritic negative Reviews.",negativ,Steam,,"[  101 19248  9364  2007  1996  3675  8653  1017  4654 20464  2271  7730
  8874  2006  1996  8680  3573  1012  2593 22227  1013  1016  2243  2038
  3294 28947  2049  8013  2918  1010  2030  1996  2769  8680  3825  2001
  4276  2009  1012  2174  1010  1038  2140  2475  2003  1037 10392  2208
  1012  9467  2055  2049  8544  3522  6567  1012   102]",109
Borderlands - Epic Store,91872211,Borderlands 2,"Bitterly disappointed with the Borderlands 3 exclusivity announcement on the Epic store. Either Gearbox/2K has completely misunderstood its customer base, or the money Epic paid was worth it.

However, BL2 is a fantastic game. Shame about its publishers recent decisions.",05.04.2019 15:44:52,Nicht empfohlen,83.33333333333334,17568,792.3090000000001,2024-02-08T09:59:20.237685Z,2024-02-21T23:52:25.057463Z,Ja,Ja,Ja,Ja,Ja,Nein,"Ein paar Monate vor Release von Borderlands 3 wurde von Entwickler ""Gearbox Software"" und Publisher ""2K"" bekannt gegeben, dass Borderlands 3 eine Zeit lang exklusiv im neuen (und kontroversen) Epic Games Store angeboten werden würde, und nicht auf anderen Plattformen wie Steam. Deshalb erhielten ältere Teile der Borderlands - Serie auf Steam und Metacritic negative Reviews.",negativ,Steam,,"[  101 19248  9364  2007  1996  3675  8653  1017  4654 20464  2271  7730
  8874  2006  1996  8680  3573  1012  2593 22227  1013  1016  2243  2038
  3294 28947  2049  8013  2918  1010  2030  1996  2769  8680  3825  2001
  4276  2009  1012  2174  1010  1038  2140  2475  2003  1037 10392  2208
  1012  9467  2055  2049  8544  3522  6567  1012   102]",109
Borderlands - Epic Store,91872212,Borderlands GOTY Enhanced,"In Enhanced edition you would probably expect more features. 

Apparently the option of split screen has still not been added to PC and LAN has been completely removed!

No local co-op for me and my friends I suppose.",17.04.2019 18:37:11,Nicht empfohlen,100.0,18232,193.513,2024-02-22T13:36:37.900885Z,2024-02-22T13:36:37.900901Z,Nein,Ja,Ja,Nein,Nein,Nein,"Ein paar Monate vor Release von Borderlands 3 wurde von Entwickler ""Gearbox Software"" und Publisher ""2K"" bekannt gegeben, dass Borderlands 3 eine Zeit lang exklusiv im neuen (und kontroversen) Epic Games Store angeboten werden würde, und nicht auf anderen Plattformen wie Steam. Deshalb erhielten ältere Teile der Borderlands - Serie auf Steam und Metacritic negative Reviews.",negativ,Steam,,"[  101  1999  9412  3179  2017  2052  2763  5987  2062  2838  1012  4593
  1996  5724  1997  3975  3898  2038  2145  2025  2042  2794  2000  7473
  1998 17595  2038  2042  3294  3718   999  2053  2334  2522  1011  6728
  2005  2033  1998  2026  2814  1045  6814  1012   102]",90
Borderlands - Epic Store,91872212,Borderlands GOTY Enhanced,"In Enhanced edition you would probably expect more features. 

Apparently the option of split screen has still not been added to PC and LAN has been completely removed!

No local co-op for me and my friends I suppose.",17.04.2019 18:37:11,Nicht empfohlen,100.0,17568,15.906,2024-02-08T09:59:36.951276Z,2024-02-08T09:59:36.951297Z,Nein,Ja,Ja,Nein,Nein,Nein,"Ein paar Monate vor Release von Borderlands 3 wurde von Entwickler ""Gearbox Software"" und Publisher ""2K"" bekannt gegeben, dass Borderlands 3 eine Zeit lang exklusiv im neuen (und kontroversen) Epic Games Store angeboten werden würde, und nicht auf anderen Plattformen wie Steam. Deshalb erhielten ältere Teile der Borderlands - Serie auf Steam und Metacritic negative Reviews.",negativ,Steam,,"[  101  1999  9412  3179  2017  2052  2763  5987  2062  2838  1012  4593
  1996  5724  1997  3975  3898  2038  2145  2025  2042  2794  2000  7473
  1998 17595  2038  2042  3294  3718   999  2053  2334  2522  1011  6728
  2005  2033  1998  2026  2814  1045  6814  1012   102]",90
Borderlands - Epic Store,91872213,Borderlands GOTY Enhanced,"-hard 90 fps cap
-lag that makes multiplayer unplayable
-settings revert all the time
-get stuck in random parts of the map",09.04.2019 10:53:18,Nicht empfohlen,100.0,18232,33.044,2024-02-22T13:37:11.807778Z,2024-02-22T13:37:11.807796Z,Nein,Ja,Ja,Nein,Nein,Nein,"Ein paar Monate vor Release von Borderlands 3 wurde von Entwickler ""Gearbox Software"" und Publisher ""2K"" bekannt gegeben, dass Borderlands 3 eine Zeit lang exklusiv im neuen (und kontroversen) Epic Games Store angeboten werden würde, und nicht auf anderen Plattformen wie Steam. Deshalb erhielten ältere Teile der Borderlands - Serie auf Steam und Metacritic negative Reviews.",negativ,Steam,,"[  101  1011  2524  3938  1042  4523  6178  1011  2474  2290  2008  3084
 17762  4895 13068  3085  1011 10906  7065  8743  2035  1996  2051  1011
  2131  5881  1999  6721  3033  1997  1996  4949   102]",63
Borderlands - Epic Store,91872213,Borderlands GOTY Enhanced,"-hard 90 fps cap
-lag that makes multiplayer unplayable
-settings revert all the time
-get stuck in random parts of the map",09.04.2019 10:53:18,Nicht empfohlen,100.0,17568,11.158,2024-02-08T09:59:48.895851Z,2024-02-08T09:59:48.895875Z,Nein,Ja,Ja,Nein,Nein,Nein,"Ein paar Monate vor Release von Borderlands 3 wurde von Entwickler ""Gearbox Software"" und Publisher ""2K"" bekannt gegeben, dass Borderlands 3 eine Zeit lang exklusiv im neuen (und kontroversen) Epic Games Store angeboten werden würde, und nicht auf anderen Plattformen wie Steam. Deshalb erhielten ältere Teile der Borderlands - Serie auf Steam und Metacritic negative Reviews.",negativ,Steam,,"[  101  1011  2524  3938  1042  4523  6178  1011  2474  2290  2008  3084
 17762  4895 13068  3085  1011 10906  7065  8743  2035  1996  2051  1011
  2131  5881  1999  6721  3033  1997  1996  4949   102]",63
Borderlands - Epic Store,91872214,Borderlands 2,"WE WILL NOT BOW DOWN TO THE CHINESE OVERLORDS CONTROLLING EPIC GAMES! GAMERS, DO YOUR PART! WE WILL SHOW THEM THAT PUTTING GAMES ON EPIC GAMES STORE WILL BE A LOSS THAT THEY WON'T BE ABLE TO COVER UP!",08.04.2019 01:55:06,Nicht empfohlen,66.66666666666666,18232,40.533,2024-02-22T13:37:53.220847Z,2024-02-22T13:37:53.220864Z,Ja,Nein,Nein,Ja,Nein,Nein,"Ein paar Monate vor Release von Borderlands 3 wurde von Entwickler ""Gearbox Software"" und Publisher ""2K"" bekannt gegeben, dass Borderlands 3 eine Zeit lang exklusiv im neuen (und kontroversen) Epic Games Store angeboten werden würde, und nicht auf anderen Plattformen wie Steam. Deshalb erhielten ältere Teile der Borderlands - Serie auf Steam und Metacritic negative Reviews.",negativ,Steam,,"[  101  2057  2097  2025  6812  2091  2000  1996  2822  2058 19980  2015
  9756  8680  2399   999 27911  2015  1010  2079  2115  2112   999  2057
  2097  2265  2068  2008  5128  2399  2006  8680  2399  3573  2097  2022
  1037  3279  2008  2027  2180  1005  1056  2022  2583  2000  3104  2039
   999   102]",101
Borderlands - Epic Store,91872214,Borderlands 2,"WE WILL NOT BOW DOWN TO THE CHINESE OVERLORDS CONTROLLING EPIC GAMES! GAMERS, DO YOUR PART! WE WILL SHOW THEM THAT PUTTING GAMES ON EPIC GAMES STORE WILL BE A LOSS THAT THEY WON'T BE ABLE TO COVER UP!",08.04.2019 01:55:06,Nicht empfohlen,66.66666666666666,17568,9.87,2024-02-08T09:59:59.507256Z,2024-02-08T09:59:59.507274Z,Ja,Nein,Nein,Ja,Ja,Ja,"Ein paar Monate vor Release von Borderlands 3 wurde von Entwickler ""Gearbox Software"" und Publisher ""2K"" bekannt gegeben, dass Borderlands 3 eine Zeit lang exklusiv im neuen (und kontroversen) Epic Games Store angeboten werden würde, und nicht auf anderen Plattformen wie Steam. Deshalb erhielten ältere Teile der Borderlands - Serie auf Steam und Metacritic negative Reviews.",negativ,Steam,,"[  101  2057  2097  2025  6812  2091  2000  1996  2822  2058 19980  2015
  9756  8680  2399   999 27911  2015  1010  2079  2115  2112   999  2057
  2097  2265  2068  2008  5128  2399  2006  8680  2399  3573  2097  2022
  1037  3279  2008  2027  2180  1005  1056  2022  2583  2000  3104  2039
   999   102]",101
