project,annotation_question,num_reviews_yes,num_reviews_no,annotator_id,num_annotated_reviews,avg_lead_time_annotator_in_s,avg_agreement_annotator
Skyrim - Paid Mods,is-review-bombing,15,0,9365,15,61.49,75.56
Skyrim - Paid Mods,criticism-praise-ideological,5,10,9365,15,61.49,75.56
Skyrim - Paid Mods,criticism-praise-developer-publisher,10,5,9365,15,61.49,75.56
Skyrim - Paid Mods,criticism-praise-game-content,9,6,9365,15,61.49,75.56
Skyrim - Paid Mods,criticism-praise-political,0,15,9365,15,61.49,75.56
Skyrim - Paid Mods,is-rating-game-related,12,3,9365,15,61.49,75.56
Skyrim - Paid Mods,criticism-praise-developer-publisher,25,5,9368,30,42.78,98.89
Skyrim - Paid Mods,criticism-praise-ideological,21,9,9368,30,42.78,98.89
Skyrim - Paid Mods,criticism-praise-political,1,29,9368,30,42.78,98.89
Skyrim - Paid Mods,is-rating-game-related,8,22,9368,30,42.78,98.89
Skyrim - Paid Mods,criticism-praise-game-content,10,20,9368,30,42.78,98.89
Skyrim - Paid Mods,is-review-bombing,25,5,9368,30,42.78,98.89
Skyrim - Paid Mods,criticism-praise-ideological,28,7,9627,35,50.39,100.0
Skyrim - Paid Mods,criticism-praise-political,0,35,9627,35,50.39,100.0
Skyrim - Paid Mods,criticism-praise-game-content,21,14,9627,35,50.39,100.0
Skyrim - Paid Mods,is-review-bombing,27,8,9627,35,50.39,100.0
Skyrim - Paid Mods,criticism-praise-developer-publisher,20,15,9627,35,50.39,100.0
Skyrim - Paid Mods,is-rating-game-related,18,17,9627,35,50.39,100.0
Skyrim - Paid Mods,criticism-praise-developer-publisher,15,5,9754,20,41.57,76.67
Skyrim - Paid Mods,criticism-praise-political,0,20,9754,20,41.57,76.67
Skyrim - Paid Mods,criticism-praise-ideological,9,11,9754,20,41.57,76.67
Skyrim - Paid Mods,is-review-bombing,19,1,9754,20,41.57,76.67
Skyrim - Paid Mods,is-rating-game-related,12,8,9754,20,41.57,76.67
Skyrim - Paid Mods,criticism-praise-game-content,12,8,9754,20,41.57,76.67
Skyrim - Paid Mods,criticism-praise-developer-publisher,14,6,10389,20,25.96,100.0
Skyrim - Paid Mods,criticism-praise-political,1,19,10389,20,25.96,100.0
Skyrim - Paid Mods,is-rating-game-related,3,17,10389,20,25.96,100.0
Skyrim - Paid Mods,is-review-bombing,17,3,10389,20,25.96,100.0
Skyrim - Paid Mods,criticism-praise-game-content,6,14,10389,20,25.96,100.0
Skyrim - Paid Mods,criticism-praise-ideological,15,5,10389,20,25.96,100.0
Skyrim - Paid Mods,criticism-praise-developer-publisher,16,0,11478,16,53.44,72.22
Skyrim - Paid Mods,is-review-bombing,15,1,11478,16,53.44,72.22
Skyrim - Paid Mods,criticism-praise-game-content,5,11,11478,16,53.44,72.22
Skyrim - Paid Mods,is-rating-game-related,0,16,11478,16,53.44,72.22
Skyrim - Paid Mods,criticism-praise-ideological,4,12,11478,16,53.44,72.22
Skyrim - Paid Mods,criticism-praise-political,0,16,11478,16,53.44,72.22
Skyrim - Paid Mods,is-review-bombing,29,1,11790,30,48.21,71.67
Skyrim - Paid Mods,criticism-praise-ideological,13,17,11790,30,48.21,71.67
Skyrim - Paid Mods,criticism-praise-developer-publisher,23,7,11790,30,48.21,71.67
Skyrim - Paid Mods,criticism-praise-game-content,10,20,11790,30,48.21,71.67
Skyrim - Paid Mods,criticism-praise-political,1,29,11790,30,48.21,71.67
Skyrim - Paid Mods,is-rating-game-related,20,10,11790,30,48.21,71.67
Skyrim - Paid Mods,is-rating-game-related,30,0,13430,30,24.22,65.19
Skyrim - Paid Mods,criticism-praise-ideological,27,3,13430,30,24.22,65.19
Skyrim - Paid Mods,is-review-bombing,29,1,13430,30,24.22,65.19
Skyrim - Paid Mods,criticism-praise-political,0,30,13430,30,24.22,65.19
Skyrim - Paid Mods,criticism-praise-developer-publisher,17,13,13430,30,24.22,65.19
Skyrim - Paid Mods,criticism-praise-game-content,11,19,13430,30,24.22,65.19
Skyrim - Paid Mods,criticism-praise-ideological,10,50,15655,60,26.48,100.0
Skyrim - Paid Mods,criticism-praise-political,0,60,15655,60,26.48,100.0
Skyrim - Paid Mods,is-rating-game-related,50,10,15655,60,26.48,100.0
Skyrim - Paid Mods,criticism-praise-developer-publisher,29,31,15655,60,26.48,100.0
Skyrim - Paid Mods,criticism-praise-game-content,44,16,15655,60,26.48,100.0
Skyrim - Paid Mods,is-review-bombing,57,3,15655,60,26.48,100.0
Skyrim - Paid Mods,criticism-praise-game-content,26,9,15657,35,44.11,83.81
Skyrim - Paid Mods,criticism-praise-political,1,34,15657,35,44.11,83.81
Skyrim - Paid Mods,criticism-praise-developer-publisher,23,12,15657,35,44.11,83.81
Skyrim - Paid Mods,is-review-bombing,21,14,15657,35,44.11,83.81
Skyrim - Paid Mods,is-rating-game-related,20,15,15657,35,44.11,83.81
Skyrim - Paid Mods,criticism-praise-ideological,1,34,15657,35,44.11,83.81
Skyrim - Paid Mods,criticism-praise-game-content,11,19,15710,30,52.47,77.41
Skyrim - Paid Mods,criticism-praise-political,0,30,15710,30,52.47,77.41
Skyrim - Paid Mods,is-review-bombing,27,3,15710,30,52.47,77.41
Skyrim - Paid Mods,is-rating-game-related,3,27,15710,30,52.47,77.41
Skyrim - Paid Mods,criticism-praise-developer-publisher,17,13,15710,30,52.47,77.41
Skyrim - Paid Mods,criticism-praise-ideological,24,6,15710,30,52.47,77.41
Skyrim - Paid Mods,criticism-praise-developer-publisher,15,15,16195,30,42.14,98.89
Skyrim - Paid Mods,criticism-praise-political,0,30,16195,30,42.14,98.89
Skyrim - Paid Mods,is-review-bombing,30,0,16195,30,42.14,98.89
Skyrim - Paid Mods,criticism-praise-game-content,13,17,16195,30,42.14,98.89
Skyrim - Paid Mods,criticism-praise-ideological,11,19,16195,30,42.14,98.89
Skyrim - Paid Mods,is-rating-game-related,6,24,16195,30,42.14,98.89
Skyrim - Paid Mods,criticism-praise-ideological,13,2,17568,15,21.83,72.59
Skyrim - Paid Mods,is-review-bombing,12,3,17568,15,21.83,72.59
Skyrim - Paid Mods,criticism-praise-political,0,15,17568,15,21.83,72.59
Skyrim - Paid Mods,is-rating-game-related,4,11,17568,15,21.83,72.59
Skyrim - Paid Mods,criticism-praise-game-content,3,12,17568,15,21.83,72.59
Skyrim - Paid Mods,criticism-praise-developer-publisher,14,1,17568,15,21.83,72.59
Skyrim - Paid Mods,is-review-bombing,14,1,17629,15,52.66,75.56
Skyrim - Paid Mods,criticism-praise-political,0,15,17629,15,52.66,75.56
Skyrim - Paid Mods,is-rating-game-related,4,11,17629,15,52.66,75.56
Skyrim - Paid Mods,criticism-praise-developer-publisher,13,2,17629,15,52.66,75.56
Skyrim - Paid Mods,criticism-praise-game-content,6,9,17629,15,52.66,75.56
Skyrim - Paid Mods,criticism-praise-ideological,9,6,17629,15,52.66,75.56
Skyrim - Paid Mods,criticism-praise-game-content,15,20,17750,35,35.45,89.52
Skyrim - Paid Mods,criticism-praise-ideological,20,15,17750,35,35.45,89.52
Skyrim - Paid Mods,is-review-bombing,33,2,17750,35,35.45,89.52
Skyrim - Paid Mods,criticism-praise-political,0,35,17750,35,35.45,89.52
Skyrim - Paid Mods,criticism-praise-developer-publisher,31,4,17750,35,35.45,89.52
Skyrim - Paid Mods,is-rating-game-related,11,24,17750,35,35.45,89.52
Skyrim - Paid Mods,criticism-praise-ideological,5,5,17758,10,68.01,100.0
Skyrim - Paid Mods,criticism-praise-political,0,10,17758,10,68.01,100.0
Skyrim - Paid Mods,is-rating-game-related,9,1,17758,10,68.01,100.0
Skyrim - Paid Mods,criticism-praise-developer-publisher,9,1,17758,10,68.01,100.0
Skyrim - Paid Mods,is-review-bombing,10,0,17758,10,68.01,100.0
Skyrim - Paid Mods,criticism-praise-game-content,8,2,17758,10,68.01,100.0
Skyrim - Paid Mods,criticism-praise-political,0,30,17811,30,19.42,72.78
Skyrim - Paid Mods,is-rating-game-related,7,23,17811,30,19.42,72.78
Skyrim - Paid Mods,criticism-praise-developer-publisher,30,0,17811,30,19.42,72.78
