project,id,game_name_display,review,review_date,combined_rating,annotation_certainty,is-review-bombing,is-rating-game-related,criticism-praise-game-content,criticism-praise-developer-publisher,criticism-praise-ideological,criticism-praise-political,review_bomb_reason,review_bomb_type,source,rating,input_ids,review_length
Ukraine-Russia-Support,91992358,S.T.A.L.K.E.R.: Call of Pripyat,best open world series of this kind . all three of them .,27.03.2022 22:53:45,Empfohlen,100.0,Nein,Ja,Ja,Nein,Nein,Nein,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Steam,,"[ 101 2190 2330 2088 2186 1997 2023 2785 1012 2035 2093 1997 2068 1012
  102]",15
Ukraine-Russia-Support,91992359,Cyberpunk 2077,"You banned russian players to buy your games. As you know no one gamer took a part in desicion to attack Ukraine. But you ban russian players. Ok. Now we will not buy NO ONE COPY OF YOUR GAMES.
Stop WAR STOP BAN ordinarry gamers STOP bulling russians!",04.03.2022,Nicht empfohlen,83.33333333333334,Ja,Nein,Nein,Ja,Ja,Ja,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Metacritic,0.0,"[  101  2017  7917  2845  2867  2000  4965  2115  2399  1012  2004  2017
  2113  2053  2028 27911  2165  1037  2112  1999  4078 27113  2078  2000
  2886  5924  1012  2021  2017  7221  2845  2867  1012  7929  1012  2085
  2057  2097  2025  4965  2053  2028  6100  1997  2115  2399  1012  2644
  2162  2644  7221  2030 18979 12244 27911  2015  2644  7087  2075 12513
   999   102]",119
Ukraine-Russia-Support,91992360,The Witcher 3: Wild Hunt,incredible yes,01.03.2022 01:36:51,Empfohlen,66.66666666666666,Nein,Ja,Ja,Nein,Nein,Nein,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Steam,,[ 101 9788 2748  102],4
Ukraine-Russia-Support,91992361,S.T.A.L.K.E.R.: Call of Pripyat,"Russians Killing Ukrainians by thousands - ''special action ''' Putin and Lavrov . , world will remember your atrocities - shame on you , shame of your familys. 
",15.03.2022 19:12:33,Empfohlen,83.33333333333334,Ja,Nein,Nein,Nein,Ja,Ja,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Steam,,"[  101 12513  4288  5969  2015  2011  5190  1011  1005  1005  2569  2895
  1005  1005  1005 22072  1998  2474 19716  4492  1012  1010  2088  2097
  3342  2115 23482  1011  9467  2006  2017  1010  9467  1997  2115  2155
  2015  1012   102]",74
Ukraine-Russia-Support,91992362,S.T.A.L.K.E.R.: Shadow of Chernobyl,Atmospheric as hell old game that has amazing sense of environment with a mixed bag story. Good gameplay that can be a little hard to understand but really good sense of progression and it really sells the hostile and intense alien landscape that'll stick in your mind long after you stop playing. Essentially first person Russia The Sims. Good hunting S.T.A.L.K.E.R,29.03.2022 05:57:55,Empfohlen,100.0,Nein,Ja,Ja,Nein,Nein,Nein,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Steam,,"[  101 12483  2004  3109  2214  2208  2008  2038  6429  3168  1997  4044
  2007  1037  3816  4524  2466  1012  2204 11247  2008  2064  2022  1037
  2210  2524  2000  3305  2021  2428  2204  3168  1997 14967  1998  2009
  2428 15187  1996 10420  1998  6387  7344  5957  2008  1005  2222  6293
  1999  2115  2568  2146  2044  2017  2644  2652  1012  7687  2034  2711
  3607  1996 18135  1012  2204  5933  1055  1012  1056  1012  1037  1012
  1048  1012  1047  1012  1041  1012  1054   102]",154
Ukraine-Russia-Support,91992363,Cyberpunk 2077,"Thx you, sdpr, for blocking your games in Russia. When the whole world turned away from us for nothing, you turned away too. I hope, it will not be forgotten. Im absolutely sure, that brainless old fart putin is so sad about your decision.",03.03.2022,Nicht empfohlen,66.66666666666666,Ja,Nein,Nein,Ja,Ja,Ja,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Metacritic,0.0,"[  101 16215  2595  2017  1010 17371 18098  1010  2005 10851  2115  2399
  1999  3607  1012  2043  1996  2878  2088  2357  2185  2013  2149  2005
  2498  1010  2017  2357  2185  2205  1012  1045  3246  1010  2009  2097
  2025  2022  6404  1012 10047  7078  2469  1010  2008  4167  3238  2214
  2521  2102 22072  2003  2061  6517  2055  2115  3247  1012   102]",112
Ukraine-Russia-Support,91992364,GWENT: The Witcher Card Game,"A very solid and addicting card game. It's not really pay to win as well, you will get the cards you want eventually as long as you keep progressing, opening free kegs and getting those daily rewards. Find a faction that really suits your play style when you first start playing the game. Eventually, you will find interesting ways how to counter the other factions.",02.03.2022 01:18:27,Empfohlen,100.0,Nein,Ja,Ja,Nein,Nein,Nein,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Steam,,"[  101  1037  2200  5024  1998 26855  2075  4003  2208  1012  2009  1005
  1055  2025  2428  3477  2000  2663  2004  2092  1010  2017  2097  2131
  1996  5329  2017  2215  2776  2004  2146  2004  2017  2562 27673  1010
  3098  2489 17710  5620  1998  2893  2216  3679 19054  1012  2424  1037
 10233  2008  2428 11072  2115  2377  2806  2043  2017  2034  2707  2652
  1996  2208  1012  2776  1010  2017  2097  2424  5875  3971  2129  2000
  4675  1996  2060 13815  1012   102]",149
Ukraine-Russia-Support,91992365,Cyberpunk 2077,"I would have given it an 8/10 on release. My initial experience was mostly bug free and exceptionally fun.

The recent patches and updates have given me cause to revisit the game and so far it has been flawless.

I wouldn't usually take time to review a game but I heard this was getting review bombed for stupid reasons and I wanted to voice support.",08.03.2022,Empfohlen,83.33333333333334,Nein,Ja,Ja,Ja,Nein,Nein,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Metacritic,10.0,"[  101  1045  2052  2031  2445  2009  2019  1022  1013  2184  2006  2713
  1012  2026  3988  3325  2001  3262 11829  2489  1998 17077  4569  1012
  1996  3522 13864  1998 14409  2031  2445  2033  3426  2000  7065 17417
  2102  1996  2208  1998  2061  2521  2009  2038  2042 27503  1012  1045
  2876  1005  1056  2788  2202  2051  2000  3319  1037  2208  2021  1045
  2657  2023  2001  2893  3319 18897  2005  5236  4436  1998  1045  2359
  2000  2376  2490  1012   102]",147
Ukraine-Russia-Support,91992366,The Witcher 3: Wild Hunt,"This game is one of the greatest open world, RPG, singleplayer campaingn of all time. The graphics of this game are beautiful and will age well in time. The choices you make in this game do mater and will greatly change the outcome of your playthrouth. The Dev's of the time that made this game really put a lot of attention into detail to enrich your experience. The gameplay and the camera of this game are top noch compared to the previous entries. There's plenty of replayability and it definitely recommanded to have multiple playthrouth's of this game.",02.03.2022 01:16:08,Empfohlen,100.0,Nein,Ja,Ja,Nein,Nein,Nein,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Steam,,"[  101  2023  2208  2003  2028  1997  1996  4602  2330  2088  1010 22531
  1010  2309 13068  2121  3409  8113 16206  1997  2035  2051  1012  1996
  8389  1997  2023  2208  2024  3376  1998  2097  2287  2092  1999  2051
  1012  1996  9804  2017  2191  1999  2023  2208  2079 16289  1998  2097
  6551  2689  1996  9560  1997  2115  2377  2705 22494  2705  1012  1996
 16475  1005  1055  1997  1996  2051  2008  2081  2023  2208  2428  2404
  1037  2843  1997  3086  2046  6987  2000  4372 13149  2115  3325  1012
  1996 11247  1998  1996  4950  1997  2023  2208  2024  2327  2053  2818
  4102  2000  1996  3025 10445  1012  2045  1005  1055  7564  1997 15712
  8010  1998  2009  5791 28667  5358  2386  5732  2000  2031  3674  2377
  2705 22494  2705  1005  1055  1997  2023  2208  1012   102]",248
Ukraine-Russia-Support,91992367,Frostpunk,Very nice game :),09.03.2022 20:41:04,Empfohlen,100.0,Nein,Ja,Ja,Nein,Nein,Nein,"Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.",sowohl negativ als auch positiv,Steam,,[ 101 2200 3835 2208 1024 1007  102],7
