Entwickler-Publisher,Kritik-Lob-Ideologisch,Kritik-Lob-Politisch,Kritik-Lob-Sonstiges,Spielinhalte,"affected_games","agreement","annotation_id","annotator","author_playtime_at_review_min","author_playtime_overall_min","combined_rating","combined_rating_display","created_at","funny_score","game","game_description","game_name_display","game_received_for_free","id","input_ids","lead_time","off-topic","rating","release_date","review",review-bombing,"review_bomb_reason","review_bomb_time","review_bomb_type","review_date","source","steam_rating_positive","updated_at","was_steam_purchase"
"Nein","no","Nein","Ja","Nein","""Witcher"" - Spiele: The Witcher 1 und 2 (und deren Enhanced Editionen), The Witcher 3 (und Complete Edition), GWENT, Thronebreaker; Cyberpunk 2077; This War of Mine; Frostpunk; ""S.T.A.L.K.E.R."" - Spiele",80.95238095238096,29833695,14445,6.0,443.0,"Nicht empfohlen","Nicht empfohlen","2024-01-25T23:31:22.849030Z",0.0,"GWENT: The Witcher Card Game","Command mighty Witcher-world heroes in epic online PvP card battles!","GWENT: The Witcher Card Game",False,89822456,"[  101  1045  2064  2102  2428  3319  2208  1010  2017  2031  2000  3443
  1037  2175  2290  4070  2000  2377  1998  2005  1016  2420  1045  2074
  2131  1037  4471  2008  2049 20165  1012  2079  4426  1037  7927  1998
  2123  1005  1056  5949  2115  2051   102]",88.585,"Nein","","19.05.2020","I cant really review game, you have to create a GOG account to play and for 2 days i just get a message that its unavailable. do yourself a favour and don't waste your time","Nein","Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.","24. Februar 2022 - Anfang April 2022","sowohl negativ als auch positiv","13.03.2022 22:53:28","Steam",False,"2024-01-26T00:05:59.182919Z",False
"Nein","no","Nein","Ja","Nein","""Witcher"" - Spiele: The Witcher 1 und 2 (und deren Enhanced Editionen), The Witcher 3 (und Complete Edition), GWENT, Thronebreaker; Cyberpunk 2077; This War of Mine; Frostpunk; ""S.T.A.L.K.E.R."" - Spiele",80.95238095238096,29825825,17156,6.0,443.0,"Nicht empfohlen","Nicht empfohlen","2024-01-25T17:34:43.736018Z",0.0,"GWENT: The Witcher Card Game","Command mighty Witcher-world heroes in epic online PvP card battles!","GWENT: The Witcher Card Game",False,89822456,"[  101  1045  2064  2102  2428  3319  2208  1010  2017  2031  2000  3443
  1037  2175  2290  4070  2000  2377  1998  2005  1016  2420  1045  2074
  2131  1037  4471  2008  2049 20165  1012  2079  4426  1037  7927  1998
  2123  1005  1056  5949  2115  2051   102]",534.886,"Nein","","19.05.2020","I cant really review game, you have to create a GOG account to play and for 2 days i just get a message that its unavailable. do yourself a favour and don't waste your time","Nein","Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.","24. Februar 2022 - Anfang April 2022","sowohl negativ als auch positiv","13.03.2022 22:53:28","Steam",False,"2024-01-25T17:34:43.736036Z",False
"Nein","no","Nein","Ja","Ja","""Witcher"" - Spiele: The Witcher 1 und 2 (und deren Enhanced Editionen), The Witcher 3 (und Complete Edition), GWENT, Thronebreaker; Cyberpunk 2077; This War of Mine; Frostpunk; ""S.T.A.L.K.E.R."" - Spiele",80.95238095238096,29757285,17120,6.0,443.0,"Nicht empfohlen","Nicht empfohlen","2024-01-24T15:27:01.303417Z",0.0,"GWENT: The Witcher Card Game","Command mighty Witcher-world heroes in epic online PvP card battles!","GWENT: The Witcher Card Game",False,89822456,"[  101  1045  2064  2102  2428  3319  2208  1010  2017  2031  2000  3443
  1037  2175  2290  4070  2000  2377  1998  2005  1016  2420  1045  2074
  2131  1037  4471  2008  2049 20165  1012  2079  4426  1037  7927  1998
  2123  1005  1056  5949  2115  2051   102]",387.393,"Ja","","19.05.2020","I cant really review game, you have to create a GOG account to play and for 2 days i just get a message that its unavailable. do yourself a favour and don't waste your time","Nein","Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.","24. Februar 2022 - Anfang April 2022","sowohl negativ als auch positiv","13.03.2022 22:53:28","Steam",False,"2024-01-24T15:27:01.303436Z",False
"Nein","no","Nein","Nein","Ja","""Witcher"" - Spiele: The Witcher 1 und 2 (und deren Enhanced Editionen), The Witcher 3 (und Complete Edition), GWENT, Thronebreaker; Cyberpunk 2077; This War of Mine; Frostpunk; ""S.T.A.L.K.E.R."" - Spiele",90.47619047619047,29833696,"14445",2686.0,5553.0,"Empfohlen","Empfohlen","2024-01-25T23:31:56.675428Z",0.0,"The Witcher 2: Assassins of Kings","A time of untold chaos has come. Mighty forces clash behind the scenes in a struggle for power and influence. The Northern Kingdoms mobilize for war. But armies on the march are not enough to stop a bloody conspiracy...","The Witcher 2: Assassins of Kings Enhanced Edition",False,89822457,"[  101  1031  1996  2186  4247  1033  1009  2027  5301  1996  4337 15893
  2000  2191  2009  2062  2895  1011 25325  5657  1010  1006  1011  1007
  2021  2009  1005  1055  2062  2005  1015  2615  2487  4337  1012  5564
  2045  2024  6716  2187  1998  2157  2667  2000  6080  2017  2039  1010
  2029  2191  2009  6211  1999  2593  2330  1013  2485  2686  2181  1012
  1009  1996  6716  5607 12563  1013 25921  2015  1998  2009  2003  2507
  3243  1037  4053  2029  2191  2149  3046  3899  3207  2182  1998  2045
  1009 17454  2015  2024 15703  1012  1006  1011  1007  2035 17454  7166
  2000  2224  2168 19717  1012 10861  2078  6099  1012  1998  2543  7384
  2007  4121  4053  1012  1012  1012  1012  1009  2035  2839  2298  2062
  2529  1011  2066  1006  2488  2559  1007  1006  1009  1007 20934 20536
  1006  1996 16475  4282  2049  9677  4292  1007  1009  2204 13633  2013
  1996  3083  2208  1012  2307 17174  2005  1044 22571  2075  1996  3822
  2208  1012  1006  1011  1007  2070  3601  1045  2081  2006  1996  3083
  3849 22537  1999  2023  2028  1012  1012  1012  1012  1012  1045  3271
  8038  6777  2378  1998  2053  5254  1997  2068  1024  1039  1009  2488
  8389  1009  2307  2396  1010  5107  1010  1998  2640  1009  2307  5913
  4281  2572 11283  5897  3083  3325  5790  1024  1023  1013  2184 15712
  8010  1024  1022  1013  2184  2026  5790  1024  1022  1012  1019  1013
  2184  1031  6872  7163  5795  2645  4190  4183  2081  2033  2175 15212
  2005  2261  2847  1012  1012  1012  1012  1012  1998  1045 16791  1996
 17752  2041  1997  2032  1999  1996  2203  1011  1014  1012  1019  1033
   102]",32.72,"Ja","","16.04.2012","[The Series Continues]
+ They improved the combat mechanic to make it more action-esque, 
(-) but it's more for 1v1 combat. meanwhile there are enemies left and right trying to gang you up, which make it harder in either open/close space area.

+ The enemies shoot arrows/ projectiles and it is give quite a damage which make us try dogde here and there

+ mages are annoying.
(-) all mage tend to use same tactic. quen shield. and fireball with huge damage....

+ all character look more human-like (better looking)
(+) bubies (the dev knows its mature setting)

+ good continuation from the 1st game. Great intro for hyping the 3rd game.
(-) some choice i made on the 1st seems irrelevant in this one..... i helped yaevin and no mention of them :c

+ better graphics
+ great art, visual, and design
+ great fantasy background ambience

1st experience rating : 9/10
replayability : 8/10
my rating : 8.5/10

[Operator MINI boss battle legit made me go banana for few hours.....and i skipped the heck out of him in the end -0.5]","Nein","Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.","24. Februar 2022 - Anfang April 2022","sowohl negativ als auch positiv","03.03.2022 19:09:21","Steam",True,"2024-01-26T00:06:07.702050Z",True
"Nein","no","Nein","Nein","Ja","""Witcher"" - Spiele: The Witcher 1 und 2 (und deren Enhanced Editionen), The Witcher 3 (und Complete Edition), GWENT, Thronebreaker; Cyberpunk 2077; This War of Mine; Frostpunk; ""S.T.A.L.K.E.R."" - Spiele",90.47619047619047,29825851,"17156",2686.0,5553.0,"Empfohlen","Empfohlen","2024-01-25T17:35:48.603475Z",0.0,"The Witcher 2: Assassins of Kings","A time of untold chaos has come. Mighty forces clash behind the scenes in a struggle for power and influence. The Northern Kingdoms mobilize for war. But armies on the march are not enough to stop a bloody conspiracy...","The Witcher 2: Assassins of Kings Enhanced Edition",False,89822457,"[  101  1031  1996  2186  4247  1033  1009  2027  5301  1996  4337 15893
  2000  2191  2009  2062  2895  1011 25325  5657  1010  1006  1011  1007
  2021  2009  1005  1055  2062  2005  1015  2615  2487  4337  1012  5564
  2045  2024  6716  2187  1998  2157  2667  2000  6080  2017  2039  1010
  2029  2191  2009  6211  1999  2593  2330  1013  2485  2686  2181  1012
  1009  1996  6716  5607 12563  1013 25921  2015  1998  2009  2003  2507
  3243  1037  4053  2029  2191  2149  3046  3899  3207  2182  1998  2045
  1009 17454  2015  2024 15703  1012  1006  1011  1007  2035 17454  7166
  2000  2224  2168 19717  1012 10861  2078  6099  1012  1998  2543  7384
  2007  4121  4053  1012  1012  1012  1012  1009  2035  2839  2298  2062
  2529  1011  2066  1006  2488  2559  1007  1006  1009  1007 20934 20536
  1006  1996 16475  4282  2049  9677  4292  1007  1009  2204 13633  2013
  1996  3083  2208  1012  2307 17174  2005  1044 22571  2075  1996  3822
  2208  1012  1006  1011  1007  2070  3601  1045  2081  2006  1996  3083
  3849 22537  1999  2023  2028  1012  1012  1012  1012  1012  1045  3271
  8038  6777  2378  1998  2053  5254  1997  2068  1024  1039  1009  2488
  8389  1009  2307  2396  1010  5107  1010  1998  2640  1009  2307  5913
  4281  2572 11283  5897  3083  3325  5790  1024  1023  1013  2184 15712
  8010  1024  1022  1013  2184  2026  5790  1024  1022  1012  1019  1013
  2184  1031  6872  7163  5795  2645  4190  4183  2081  2033  2175 15212
  2005  2261  2847  1012  1012  1012  1012  1012  1998  1045 16791  1996
 17752  2041  1997  2032  1999  1996  2203  1011  1014  1012  1019  1033
   102]",63.724,"Ja","","16.04.2012","[The Series Continues]
+ They improved the combat mechanic to make it more action-esque, 
(-) but it's more for 1v1 combat. meanwhile there are enemies left and right trying to gang you up, which make it harder in either open/close space area.

+ The enemies shoot arrows/ projectiles and it is give quite a damage which make us try dogde here and there

+ mages are annoying.
(-) all mage tend to use same tactic. quen shield. and fireball with huge damage....

+ all character look more human-like (better looking)
(+) bubies (the dev knows its mature setting)

+ good continuation from the 1st game. Great intro for hyping the 3rd game.
(-) some choice i made on the 1st seems irrelevant in this one..... i helped yaevin and no mention of them :c

+ better graphics
+ great art, visual, and design
+ great fantasy background ambience

1st experience rating : 9/10
replayability : 8/10
my rating : 8.5/10

[Operator MINI boss battle legit made me go banana for few hours.....and i skipped the heck out of him in the end -0.5]","Nein","Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.","24. Februar 2022 - Anfang April 2022","sowohl negativ als auch positiv","03.03.2022 19:09:21","Steam",True,"2024-01-25T17:35:48.603490Z",True
"Nein","no","Nein","Ja","Ja","""Witcher"" - Spiele: The Witcher 1 und 2 (und deren Enhanced Editionen), The Witcher 3 (und Complete Edition), GWENT, Thronebreaker; Cyberpunk 2077; This War of Mine; Frostpunk; ""S.T.A.L.K.E.R."" - Spiele",90.47619047619047,29757382,"17120",2686.0,5553.0,"Empfohlen","Empfohlen","2024-01-24T15:29:19.024900Z",0.0,"The Witcher 2: Assassins of Kings","A time of untold chaos has come. Mighty forces clash behind the scenes in a struggle for power and influence. The Northern Kingdoms mobilize for war. But armies on the march are not enough to stop a bloody conspiracy...","The Witcher 2: Assassins of Kings Enhanced Edition",False,89822457,"[  101  1031  1996  2186  4247  1033  1009  2027  5301  1996  4337 15893
  2000  2191  2009  2062  2895  1011 25325  5657  1010  1006  1011  1007
  2021  2009  1005  1055  2062  2005  1015  2615  2487  4337  1012  5564
  2045  2024  6716  2187  1998  2157  2667  2000  6080  2017  2039  1010
  2029  2191  2009  6211  1999  2593  2330  1013  2485  2686  2181  1012
  1009  1996  6716  5607 12563  1013 25921  2015  1998  2009  2003  2507
  3243  1037  4053  2029  2191  2149  3046  3899  3207  2182  1998  2045
  1009 17454  2015  2024 15703  1012  1006  1011  1007  2035 17454  7166
  2000  2224  2168 19717  1012 10861  2078  6099  1012  1998  2543  7384
  2007  4121  4053  1012  1012  1012  1012  1009  2035  2839  2298  2062
  2529  1011  2066  1006  2488  2559  1007  1006  1009  1007 20934 20536
  1006  1996 16475  4282  2049  9677  4292  1007  1009  2204 13633  2013
  1996  3083  2208  1012  2307 17174  2005  1044 22571  2075  1996  3822
  2208  1012  1006  1011  1007  2070  3601  1045  2081  2006  1996  3083
  3849 22537  1999  2023  2028  1012  1012  1012  1012  1012  1045  3271
  8038  6777  2378  1998  2053  5254  1997  2068  1024  1039  1009  2488
  8389  1009  2307  2396  1010  5107  1010  1998  2640  1009  2307  5913
  4281  2572 11283  5897  3083  3325  5790  1024  1023  1013  2184 15712
  8010  1024  1022  1013  2184  2026  5790  1024  1022  1012  1019  1013
  2184  1031  6872  7163  5795  2645  4190  4183  2081  2033  2175 15212
  2005  2261  2847  1012  1012  1012  1012  1012  1998  1045 16791  1996
 17752  2041  1997  2032  1999  1996  2203  1011  1014  1012  1019  1033
   102]",136.544,"Ja","","16.04.2012","[The Series Continues]
+ They improved the combat mechanic to make it more action-esque, 
(-) but it's more for 1v1 combat. meanwhile there are enemies left and right trying to gang you up, which make it harder in either open/close space area.

+ The enemies shoot arrows/ projectiles and it is give quite a damage which make us try dogde here and there

+ mages are annoying.
(-) all mage tend to use same tactic. quen shield. and fireball with huge damage....

+ all character look more human-like (better looking)
(+) bubies (the dev knows its mature setting)

+ good continuation from the 1st game. Great intro for hyping the 3rd game.
(-) some choice i made on the 1st seems irrelevant in this one..... i helped yaevin and no mention of them :c

+ better graphics
+ great art, visual, and design
+ great fantasy background ambience

1st experience rating : 9/10
replayability : 8/10
my rating : 8.5/10

[Operator MINI boss battle legit made me go banana for few hours.....and i skipped the heck out of him in the end -0.5]","Nein","Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.","24. Februar 2022 - Anfang April 2022","sowohl negativ als auch positiv","03.03.2022 19:09:21","Steam",True,"2024-01-24T15:29:19.024924Z",True
"Nein","no","Nein","Nein","Ja","""Witcher"" - Spiele: The Witcher 1 und 2 (und deren Enhanced Editionen), The Witcher 3 (und Complete Edition), GWENT, Thronebreaker; Cyberpunk 2077; This War of Mine; Frostpunk; ""S.T.A.L.K.E.R."" - Spiele",90.47619047619047,29833697,"14445","","","Nicht empfohlen","0 von 10","2024-01-25T23:32:14.385417Z","","STALKER: Call of Pripyat","The events of S.T.A.L.K.E.R.: Call of Pripyat unfold shortly after the end of S.T.A.L.K.E.R.: Shadow of Chernobyl. Having discovered about the open path to the Zone center, the government decides to hold a large-scale military ""Fairway"" operation aimed to take the CNPP under control. According to the operation's plan, the first military group is to conduct an air scouting of the territory to map out the detailed layouts of anomalous fields location. Thereafter, making use of the maps, the main military forces are to be dispatched. Despite thorough preparations, the operation fails. Most of the avant-garde helicopters crash. In order to collect information on reasons behind the operation failure, Ukraine's Security Service send their agent into the Zone center. From now on everything depends on the player. [GSC GameWorld]","S.T.A.L.K.E.R.: Call of Pripyat","",89822458,"[  101  1996  4087  5919  1997  2023  2208  2003  1037  6752  1012  2071
  2025  3926  2138  1997 12883  1012  4895 26657  2094  6752  2205  1012
  2069  1996  2087 13076 27911  2015  2052  2066  2023  2208  1012  1045
  2074  2215  2000  5959  1996  4536  1012  1012  1012   102]",16.587,"Ja",0.0,"02.02.2010","The technical aspects of this game is a mess. Could not finish because of bugs. Unbalanced mess too. Only the most hardcore gamers would like this game. I just want to enjoy the ride...","Nein","Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.","24. Februar 2022 - Anfang April 2022","sowohl negativ als auch positiv","08.03.2022","Metacritic","","2024-01-26T00:06:11.244580Z",""
"Nein","no","Nein","Nein","Ja","""Witcher"" - Spiele: The Witcher 1 und 2 (und deren Enhanced Editionen), The Witcher 3 (und Complete Edition), GWENT, Thronebreaker; Cyberpunk 2077; This War of Mine; Frostpunk; ""S.T.A.L.K.E.R."" - Spiele",90.47619047619047,29825864,"17156","","","Nicht empfohlen","0 von 10","2024-01-25T17:36:21.267347Z","","STALKER: Call of Pripyat","The events of S.T.A.L.K.E.R.: Call of Pripyat unfold shortly after the end of S.T.A.L.K.E.R.: Shadow of Chernobyl. Having discovered about the open path to the Zone center, the government decides to hold a large-scale military ""Fairway"" operation aimed to take the CNPP under control. According to the operation's plan, the first military group is to conduct an air scouting of the territory to map out the detailed layouts of anomalous fields location. Thereafter, making use of the maps, the main military forces are to be dispatched. Despite thorough preparations, the operation fails. Most of the avant-garde helicopters crash. In order to collect information on reasons behind the operation failure, Ukraine's Security Service send their agent into the Zone center. From now on everything depends on the player. [GSC GameWorld]","S.T.A.L.K.E.R.: Call of Pripyat","",89822458,"[  101  1996  4087  5919  1997  2023  2208  2003  1037  6752  1012  2071
  2025  3926  2138  1997 12883  1012  4895 26657  2094  6752  2205  1012
  2069  1996  2087 13076 27911  2015  2052  2066  2023  2208  1012  1045
  2074  2215  2000  5959  1996  4536  1012  1012  1012   102]",31.265,"Ja",0.0,"02.02.2010","The technical aspects of this game is a mess. Could not finish because of bugs. Unbalanced mess too. Only the most hardcore gamers would like this game. I just want to enjoy the ride...","Nein","Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.","24. Februar 2022 - Anfang April 2022","sowohl negativ als auch positiv","08.03.2022","Metacritic","","2024-01-25T17:36:21.267363Z",""
"Nein","no","Nein","Ja","Ja","""Witcher"" - Spiele: The Witcher 1 und 2 (und deren Enhanced Editionen), The Witcher 3 (und Complete Edition), GWENT, Thronebreaker; Cyberpunk 2077; This War of Mine; Frostpunk; ""S.T.A.L.K.E.R."" - Spiele",90.47619047619047,29757462,"17120","","","Nicht empfohlen","0 von 10","2024-01-24T15:30:39.922151Z","","STALKER: Call of Pripyat","The events of S.T.A.L.K.E.R.: Call of Pripyat unfold shortly after the end of S.T.A.L.K.E.R.: Shadow of Chernobyl. Having discovered about the open path to the Zone center, the government decides to hold a large-scale military ""Fairway"" operation aimed to take the CNPP under control. According to the operation's plan, the first military group is to conduct an air scouting of the territory to map out the detailed layouts of anomalous fields location. Thereafter, making use of the maps, the main military forces are to be dispatched. Despite thorough preparations, the operation fails. Most of the avant-garde helicopters crash. In order to collect information on reasons behind the operation failure, Ukraine's Security Service send their agent into the Zone center. From now on everything depends on the player. [GSC GameWorld]","S.T.A.L.K.E.R.: Call of Pripyat","",89822458,"[  101  1996  4087  5919  1997  2023  2208  2003  1037  6752  1012  2071
  2025  3926  2138  1997 12883  1012  4895 26657  2094  6752  2205  1012
  2069  1996  2087 13076 27911  2015  2052  2066  2023  2208  1012  1045
  2074  2215  2000  5959  1996  4536  1012  1012  1012   102]",80.043,"Ja",0.0,"02.02.2010","The technical aspects of this game is a mess. Could not finish because of bugs. Unbalanced mess too. Only the most hardcore gamers would like this game. I just want to enjoy the ride...","Nein","Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.","24. Februar 2022 - Anfang April 2022","sowohl negativ als auch positiv","08.03.2022","Metacritic","","2024-01-24T15:30:39.922169Z",""
"Ja","yes","Nein","Nein","Nein","""Witcher"" - Spiele: The Witcher 1 und 2 (und deren Enhanced Editionen), The Witcher 3 (und Complete Edition), GWENT, Thronebreaker; Cyberpunk 2077; This War of Mine; Frostpunk; ""S.T.A.L.K.E.R."" - Spiele",71.42857142857143,29833700,"14445","","","Nicht empfohlen","0 von 10","2024-01-25T23:33:21.605060Z","","Cyberpunk 2077","Cyberpunk 2077 is an open-world, action-adventure story set in Night City, a megalopolis obsessed with power, glamour and body modification. Assume the role of V, a mercenary outlaw going after a one-of-a-kind implant that is the key to immortality. You can customize your character’s cyberware, skillset and playstyle, and explore a vast city where the choices you make shape the story and the world around you. Become a cyberpunk, an urban mercenary equipped with cybernetic enhancements and build your legend on the streets of Night City. Take the riskiest job of your life and go after a prototype implant that is the key to immortality.","Cyberpunk 2077","",89822459,"[  101  1045  1005  1049  6933  2138  1997  2017  1012  2514 12056  1012
  1045  3866  2017  1010  2007  2035  2026  2540  1012  1996  2088  2097
  5475  2091  1010  2021  1996  3110  1997 14583  2097  2467  3961  1012
  1998  2035  1996  4481  1010  2396  2808  1010  2035  2115  2399  1999
  2026  3074  2085  2069  3480   102]",65.963,"Nein",0.0,"10.12.2020","I'm crying because of you. feel betrayed. I loved you, with all my heart. The world will calm down, but the feeling of betrayal will always remain. And all the figures, art books, all your games in my collection now only hurt","Ja","Kurz nach Beginn des Russland-Ukraine-Krieges im Februar 2022 entschieden sich einige Spieleentwickler dazu, sich klar gegen Russland zu positionieren, indem sie entweder ihre Spiele nicht mehr in Russland zum Verkauf anboten, z.B. CD Projekt Red (CDPR), ihre Spiele nicht mehr mit Rubel bezahlt werden konnten, z.B. die “S.T.A.L.K.E.R.” - Serie, oder direkt Geld an die Ukraine spendeten (Entwickler von “This War of Mine” und “Frostpunk”). Dadurch fühlten sich vor allem russische Spieler hintergangen oder zu Unrecht bestraft. Aber auch andere Spieler beteiligten sich am Review Bombing, da sie der Meinung waren, dass sich Spieleentwickler aus politischen Angelegenheiten heraushalten sollten.","24. Februar 2022 - Anfang April 2022","sowohl negativ als auch positiv","03.03.2022","Metacritic","","2024-01-25T23:33:21.605077Z",""
