"affected_games","agreement","annotation_id","annotator","author_playtime_at_review_min","author_playtime_overall_min","combined_rating","combined_rating_display","created_at","criticism-praise-developer-publisher","criticism-praise-game-content","criticism-praise-ideological","criticism-praise-political","funny_score","game","game_description","game_name_display","game_received_for_free","id","input_ids","is-game-related","is-review-bombing","last_updated_formatted","lead_time","rating","release_date","review","review_bomb_reason","review_bomb_time","review_bomb_type","review_date","review_date_datetime","source","steam_rating_positive","updated_at","was_steam_purchase"
"The Elder Scrolls V: Skyrim",77.77777777777777,31589878,"15657",8504.0,8535.0,"Nicht empfohlen","Nicht empfohlen","2024-02-26T22:57:22.847332Z","Nein","Nein","Nein","Nein",0.0,"The Elder Scrolls V: Skyrim","EPIC FANTASY REBORN The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose.","The Elder Scrolls V: Skyrim",False,91872600,"[  101  1059 24475  1029  1029  2079  2025  2265  2115  2490  2005  2023
 22040  1010 23653   999   999   999   102]","Nein","Ja","24.04.2015 17:51:10",30.76,"","10.11.2011","WTF?? Do not show your support for this greed ,unbelievable !!!","Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.","23. April 2015 - Ende April 2015","negativ","24.04.2015 17:51:10","24.04.2015","Steam",False,"2024-02-26T22:57:22.847351Z",False
"The Elder Scrolls V: Skyrim",77.77777777777777,31384067,"18232",8504.0,8535.0,"Nicht empfohlen","Nicht empfohlen","2024-02-22T11:05:42.884422Z","Ja","Nein","Ja","Nein",0.0,"The Elder Scrolls V: Skyrim","EPIC FANTASY REBORN The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose.","The Elder Scrolls V: Skyrim",False,91872600,"[  101  1059 24475  1029  1029  2079  2025  2265  2115  2490  2005  2023
 22040  1010 23653   999   999   999   102]","Nein","Ja","24.04.2015 17:51:10",143.511,"","10.11.2011","WTF?? Do not show your support for this greed ,unbelievable !!!","Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.","23. April 2015 - Ende April 2015","negativ","24.04.2015 17:51:10","24.04.2015","Steam",False,"2024-02-22T11:05:42.884444Z",False
"The Elder Scrolls V: Skyrim",77.77777777777777,30487126,"17568",8504.0,8535.0,"Nicht empfohlen","Nicht empfohlen","2024-02-08T09:42:56.422930Z","Ja","Nein","Ja","Nein",0.0,"The Elder Scrolls V: Skyrim","EPIC FANTASY REBORN The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose.","The Elder Scrolls V: Skyrim",False,91872600,"[  101  1059 24475  1029  1029  2079  2025  2265  2115  2490  2005  2023
 22040  1010 23653   999   999   999   102]","Nein","Ja","24.04.2015 17:51:10",1423.446,"","10.11.2011","WTF?? Do not show your support for this greed ,unbelievable !!!","Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.","23. April 2015 - Ende April 2015","negativ","24.04.2015 17:51:10","24.04.2015","Steam",False,"2024-02-08T09:44:11.672664Z",False
"The Elder Scrolls V: Skyrim",66.66666666666666,31647748,"15657",14067.0,22290.0,"Nicht empfohlen","Nicht empfohlen","2024-02-27T18:19:17.465403Z","Ja","Ja","Nein","Nein",0.0,"The Elder Scrolls V: Skyrim","EPIC FANTASY REBORN The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose.","The Elder Scrolls V: Skyrim",False,91872601,"[  101  2017  2024  9846  1996  2054 16913  2015  2024  2005  1010 16913
  2015  2323  2022  2489  1012 16913  2015  2024  2081  2011  2111  2040
  2215  2000  2393  2507  2111  1037  2488  3325  1010  2011  2437  2111
  3715  2005 16913  2015  2017  2024 14541  1996 16913  4667  2451  1999
  1016  2431  2015  1010  3531  2123  1005  1056 10083  2054  2009  2965
  2000  2022  1037 16913  4063  1010  1998  2138  1997  2023  1045  2572
  5026  2026  3789  2000  1037  2053  1010  1045  2053  2936 28667  8462
  4859  2023  2208  2000  3087 10086  1024  2026  3319  2003  6595 11265
 23806  3512  5091  1010  1045  2079  2025  2729  2054  2027  2360  1000
  2027  2359  2000  2490  1996 16913  4063  1000  2009  2003  3154  2027
  2074  2359  2000  7796  1037  5618  1010  2053  3043  2054  2027  2056
  2027  1005  2310  2025  2130  5720  2055  1037 21357  6462  1010  1037
 21357  6462  2052  1005  2310  2042  3819  2021  2053  2017  2359  2769
  1998  2079  2025  2729  2055  2023  2451  1010  1045  3866  2115  2399
  1998  1045  2145  2079  1010  2021  1045  2031  2085  2074  2439  4752
  1999  3643  1998  7014 22447  2850  1010  1045  2428  2245  2017  4364
  8725  2055  1996 16913 13375  1998  1996 27911  2015  2040  4965  2115
  2399  1010  2021  2017  2074  2562  5782  2256  2769  1010  2061  1045
  2074  2053  2936  2066  2115  2194  1998  1045  2123  1005  1056  2130
  2228  1045  1005  2222  2412  4965  2178  2028  1997  2115  2399   102]","Ja","Ja","28.04.2015 22:14:02",800.709,"","10.11.2011","You are destroying the what mods are for, mods should be free. Mods are made by people who want to help give people a better experience, by making people charge for mods you are splitting the modding community in 2 halfs, please don't ruin what it means to be a modder, and because of this I am bringing my vote to a no, I no longer recomend this game to ANYONE

Edit: My review is staying negitive forever, I do not care what they say ""they wanted to support the modder"" it is clear they just wanted to earn a profit, no matter what they said they've not even talked about a donate button, a donate button would've been perfect but no you wanted money and do not care about this community, I loved your games and I still do, but I have now just lost faith in value and bethesada, I really thought you guys cared about the modders and the gamers who buy your games, but you just keep wanting our money, so I just no longer like your company and I don't even think I'll ever buy another one of your games","Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.","23. April 2015 - Ende April 2015","negativ","25.04.2015 22:35:05","25.04.2015","Steam",False,"2024-02-27T18:19:17.465418Z",True
"The Elder Scrolls V: Skyrim",66.66666666666666,31384146,"18232",14067.0,22290.0,"Nicht empfohlen","Nicht empfohlen","2024-02-22T11:07:23.654441Z","Ja","Nein","Ja","Nein",0.0,"The Elder Scrolls V: Skyrim","EPIC FANTASY REBORN The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose.","The Elder Scrolls V: Skyrim",False,91872601,"[  101  2017  2024  9846  1996  2054 16913  2015  2024  2005  1010 16913
  2015  2323  2022  2489  1012 16913  2015  2024  2081  2011  2111  2040
  2215  2000  2393  2507  2111  1037  2488  3325  1010  2011  2437  2111
  3715  2005 16913  2015  2017  2024 14541  1996 16913  4667  2451  1999
  1016  2431  2015  1010  3531  2123  1005  1056 10083  2054  2009  2965
  2000  2022  1037 16913  4063  1010  1998  2138  1997  2023  1045  2572
  5026  2026  3789  2000  1037  2053  1010  1045  2053  2936 28667  8462
  4859  2023  2208  2000  3087 10086  1024  2026  3319  2003  6595 11265
 23806  3512  5091  1010  1045  2079  2025  2729  2054  2027  2360  1000
  2027  2359  2000  2490  1996 16913  4063  1000  2009  2003  3154  2027
  2074  2359  2000  7796  1037  5618  1010  2053  3043  2054  2027  2056
  2027  1005  2310  2025  2130  5720  2055  1037 21357  6462  1010  1037
 21357  6462  2052  1005  2310  2042  3819  2021  2053  2017  2359  2769
  1998  2079  2025  2729  2055  2023  2451  1010  1045  3866  2115  2399
  1998  1045  2145  2079  1010  2021  1045  2031  2085  2074  2439  4752
  1999  3643  1998  7014 22447  2850  1010  1045  2428  2245  2017  4364
  8725  2055  1996 16913 13375  1998  1996 27911  2015  2040  4965  2115
  2399  1010  2021  2017  2074  2562  5782  2256  2769  1010  2061  1045
  2074  2053  2936  2066  2115  2194  1998  1045  2123  1005  1056  2130
  2228  1045  1005  2222  2412  4965  2178  2028  1997  2115  2399   102]","Nein","Ja","28.04.2015 22:14:02",99.942,"","10.11.2011","You are destroying the what mods are for, mods should be free. Mods are made by people who want to help give people a better experience, by making people charge for mods you are splitting the modding community in 2 halfs, please don't ruin what it means to be a modder, and because of this I am bringing my vote to a no, I no longer recomend this game to ANYONE

Edit: My review is staying negitive forever, I do not care what they say ""they wanted to support the modder"" it is clear they just wanted to earn a profit, no matter what they said they've not even talked about a donate button, a donate button would've been perfect but no you wanted money and do not care about this community, I loved your games and I still do, but I have now just lost faith in value and bethesada, I really thought you guys cared about the modders and the gamers who buy your games, but you just keep wanting our money, so I just no longer like your company and I don't even think I'll ever buy another one of your games","Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.","23. April 2015 - Ende April 2015","negativ","25.04.2015 22:35:05","25.04.2015","Steam",False,"2024-02-22T11:07:23.654469Z",True
"The Elder Scrolls V: Skyrim",66.66666666666666,30487358,"17568",14067.0,22290.0,"Nicht empfohlen","Nicht empfohlen","2024-02-08T09:44:48.541932Z","Ja","Nein","Ja","Nein",0.0,"The Elder Scrolls V: Skyrim","EPIC FANTASY REBORN The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose.","The Elder Scrolls V: Skyrim",False,91872601,"[  101  2017  2024  9846  1996  2054 16913  2015  2024  2005  1010 16913
  2015  2323  2022  2489  1012 16913  2015  2024  2081  2011  2111  2040
  2215  2000  2393  2507  2111  1037  2488  3325  1010  2011  2437  2111
  3715  2005 16913  2015  2017  2024 14541  1996 16913  4667  2451  1999
  1016  2431  2015  1010  3531  2123  1005  1056 10083  2054  2009  2965
  2000  2022  1037 16913  4063  1010  1998  2138  1997  2023  1045  2572
  5026  2026  3789  2000  1037  2053  1010  1045  2053  2936 28667  8462
  4859  2023  2208  2000  3087 10086  1024  2026  3319  2003  6595 11265
 23806  3512  5091  1010  1045  2079  2025  2729  2054  2027  2360  1000
  2027  2359  2000  2490  1996 16913  4063  1000  2009  2003  3154  2027
  2074  2359  2000  7796  1037  5618  1010  2053  3043  2054  2027  2056
  2027  1005  2310  2025  2130  5720  2055  1037 21357  6462  1010  1037
 21357  6462  2052  1005  2310  2042  3819  2021  2053  2017  2359  2769
  1998  2079  2025  2729  2055  2023  2451  1010  1045  3866  2115  2399
  1998  1045  2145  2079  1010  2021  1045  2031  2085  2074  2439  4752
  1999  3643  1998  7014 22447  2850  1010  1045  2428  2245  2017  4364
  8725  2055  1996 16913 13375  1998  1996 27911  2015  2040  4965  2115
  2399  1010  2021  2017  2074  2562  5782  2256  2769  1010  2061  1045
  2074  2053  2936  2066  2115  2194  1998  1045  2123  1005  1056  2130
  2228  1045  1005  2222  2412  4965  2178  2028  1997  2115  2399   102]","Nein","Ja","28.04.2015 22:14:02",30.757,"","10.11.2011","You are destroying the what mods are for, mods should be free. Mods are made by people who want to help give people a better experience, by making people charge for mods you are splitting the modding community in 2 halfs, please don't ruin what it means to be a modder, and because of this I am bringing my vote to a no, I no longer recomend this game to ANYONE

Edit: My review is staying negitive forever, I do not care what they say ""they wanted to support the modder"" it is clear they just wanted to earn a profit, no matter what they said they've not even talked about a donate button, a donate button would've been perfect but no you wanted money and do not care about this community, I loved your games and I still do, but I have now just lost faith in value and bethesada, I really thought you guys cared about the modders and the gamers who buy your games, but you just keep wanting our money, so I just no longer like your company and I don't even think I'll ever buy another one of your games","Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.","23. April 2015 - Ende April 2015","negativ","25.04.2015 22:35:05","25.04.2015","Steam",False,"2024-02-08T09:44:48.541959Z",True
"The Elder Scrolls V: Skyrim",77.77777777777777,31647786,"15657",2636.0,3730.0,"Nicht empfohlen","Nicht empfohlen","2024-02-27T18:20:25.944881Z","Ja","Ja","Nein","Nein",0.0,"The Elder Scrolls V: Skyrim","EPIC FANTASY REBORN The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose.","The Elder Scrolls V: Skyrim",False,91872602,"[  101  2320 10764  1998  7014  2229  2850  2131  2037  7972  4485  2362
  1010  1998  2644  4352 16913 13375  2000  3715  2005  2037 16913  2015
  1010  1045  2097  7901  2026  4997  3319  1012   102]","Nein","Ja","27.04.2015 09:53:03",67.478,"","10.11.2011","Once Valve and Bethesda get their respective shit together, and stop allowing modders to charge for their mods, I will reverse my negative review.","Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.","23. April 2015 - Ende April 2015","negativ","27.04.2015 09:53:03","27.04.2015","Steam",False,"2024-02-27T18:20:25.944899Z",True
"The Elder Scrolls V: Skyrim",77.77777777777777,31384269,"18232",2636.0,3730.0,"Nicht empfohlen","Nicht empfohlen","2024-02-22T11:10:05.954538Z","Ja","Nein","Ja","Nein",0.0,"The Elder Scrolls V: Skyrim","EPIC FANTASY REBORN The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose.","The Elder Scrolls V: Skyrim",False,91872602,"[  101  2320 10764  1998  7014  2229  2850  2131  2037  7972  4485  2362
  1010  1998  2644  4352 16913 13375  2000  3715  2005  2037 16913  2015
  1010  1045  2097  7901  2026  4997  3319  1012   102]","Nein","Ja","27.04.2015 09:53:03",161.438,"","10.11.2011","Once Valve and Bethesda get their respective shit together, and stop allowing modders to charge for their mods, I will reverse my negative review.","Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.","23. April 2015 - Ende April 2015","negativ","27.04.2015 09:53:03","27.04.2015","Steam",False,"2024-02-22T11:10:05.954560Z",True
"The Elder Scrolls V: Skyrim",77.77777777777777,30487396,"17568",2636.0,3730.0,"Nicht empfohlen","Nicht empfohlen","2024-02-08T09:45:07.250137Z","Ja","Nein","Ja","Nein",0.0,"The Elder Scrolls V: Skyrim","EPIC FANTASY REBORN The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose.","The Elder Scrolls V: Skyrim",False,91872602,"[  101  2320 10764  1998  7014  2229  2850  2131  2037  7972  4485  2362
  1010  1998  2644  4352 16913 13375  2000  3715  2005  2037 16913  2015
  1010  1045  2097  7901  2026  4997  3319  1012   102]","Nein","Ja","27.04.2015 09:53:03",17.888,"","10.11.2011","Once Valve and Bethesda get their respective shit together, and stop allowing modders to charge for their mods, I will reverse my negative review.","Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.","23. April 2015 - Ende April 2015","negativ","27.04.2015 09:53:03","27.04.2015","Steam",False,"2024-02-08T09:45:07.250156Z",True
"The Elder Scrolls V: Skyrim",77.77777777777779,31647795,"15657",24843.0,27211.0,"Nicht empfohlen","Nicht empfohlen","2024-02-27T18:20:39.501440Z","Nein","Nein","Nein","Nein",0.0,"The Elder Scrolls V: Skyrim","EPIC FANTASY REBORN The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose.","The Elder Scrolls V: Skyrim",False,91872603,"[  101  2129  2000 10083  2115  2270  3746  7886   102]","Nein","Ja","27.04.2015 02:19:17",12.44,"","10.11.2011","How to ruin your public image 101","Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.","23. April 2015 - Ende April 2015","negativ","27.04.2015 02:19:17","27.04.2015","Steam",False,"2024-02-27T18:20:39.501461Z",False
