project,annotation_question,num_reviews_yes,num_reviews_no,annotator_id,num_annotated_reviews,median_lead_time_annotator_in_s,avg_lead_time_annotator_in_s,avg_agreement_annotator
Assassin's Creed Unity,is-review-bombing,2,13,9365,15,26.85,30.09,90.37
Assassin's Creed Unity,criticism-praise-game-content,14,1,9365,15,26.85,30.09,90.37
Assassin's Creed Unity,is-rating-game-related,14,1,9365,15,26.85,30.09,90.37
Assassin's Creed Unity,criticism-praise-political,0,15,9365,15,26.85,30.09,90.37
Assassin's Creed Unity,criticism-praise-ideological,1,14,9365,15,26.85,30.09,90.37
Assassin's Creed Unity,criticism-praise-developer-publisher,3,12,9365,15,26.85,30.09,90.37
Assassin's Creed Unity,criticism-praise-game-content,22,8,9368,30,21.48,26.87,95.19
Assassin's Creed Unity,is-rating-game-related,9,21,9368,30,21.48,26.87,95.19
Assassin's Creed Unity,criticism-praise-political,0,30,9368,30,21.48,26.87,95.19
Assassin's Creed Unity,criticism-praise-ideological,0,30,9368,30,21.48,26.87,95.19
Assassin's Creed Unity,is-review-bombing,13,17,9368,30,21.48,26.87,95.19
Assassin's Creed Unity,criticism-praise-developer-publisher,6,24,9368,30,21.48,26.87,95.19
Assassin's Creed Unity,is-rating-game-related,22,11,9627,33,36.58,48.05,95.96
Assassin's Creed Unity,is-review-bombing,16,17,9627,33,36.58,48.05,95.96
Assassin's Creed Unity,criticism-praise-game-content,24,9,9627,33,36.58,48.05,95.96
Assassin's Creed Unity,criticism-praise-developer-publisher,3,30,9627,33,36.58,48.05,95.96
Assassin's Creed Unity,criticism-praise-political,2,31,9627,33,36.58,48.05,95.96
Assassin's Creed Unity,criticism-praise-ideological,23,10,9627,33,36.58,48.05,95.96
Assassin's Creed Unity,is-review-bombing,0,20,9754,20,14.98,24.94,93.33
Assassin's Creed Unity,criticism-praise-game-content,19,1,9754,20,14.98,24.94,93.33
Assassin's Creed Unity,is-rating-game-related,19,1,9754,20,14.98,24.94,93.33
Assassin's Creed Unity,criticism-praise-political,0,20,9754,20,14.98,24.94,93.33
Assassin's Creed Unity,criticism-praise-ideological,6,14,9754,20,14.98,24.94,93.33
Assassin's Creed Unity,criticism-praise-developer-publisher,0,20,9754,20,14.98,24.94,93.33
Assassin's Creed Unity,is-rating-game-related,18,2,10389,20,28.07,30.74,100.0
Assassin's Creed Unity,criticism-praise-ideological,6,14,10389,20,28.07,30.74,100.0
Assassin's Creed Unity,criticism-praise-developer-publisher,6,14,10389,20,28.07,30.74,100.0
Assassin's Creed Unity,criticism-praise-political,0,20,10389,20,28.07,30.74,100.0
Assassin's Creed Unity,is-review-bombing,7,13,10389,20,28.07,30.74,100.0
Assassin's Creed Unity,criticism-praise-game-content,16,4,10389,20,28.07,30.74,100.0
Assassin's Creed Unity,is-review-bombing,7,13,11478,20,44.45,52.35,79.44
Assassin's Creed Unity,criticism-praise-ideological,4,16,11478,20,44.45,52.35,79.44
Assassin's Creed Unity,criticism-praise-political,0,20,11478,20,44.45,52.35,79.44
Assassin's Creed Unity,is-rating-game-related,17,3,11478,20,44.45,52.35,79.44
Assassin's Creed Unity,criticism-praise-developer-publisher,5,15,11478,20,44.45,52.35,79.44
