project,annotation_question,num_reviews_yes,num_reviews_no,annotator_id,num_annotated_reviews,median_lead_time_annotator_in_s,avg_lead_time_annotator_in_s,avg_agreement_annotator
Borderlands - Epic Store,is-review-bombing,7,8,9365,15,33.75,37.4,81.48
Borderlands - Epic Store,criticism-praise-game-content,11,4,9365,15,33.75,37.4,81.48
Borderlands - Epic Store,is-rating-game-related,9,6,9365,15,33.75,37.4,81.48
Borderlands - Epic Store,criticism-praise-political,0,15,9365,15,33.75,37.4,81.48
Borderlands - Epic Store,criticism-praise-ideological,6,9,9365,15,33.75,37.4,81.48
Borderlands - Epic Store,criticism-praise-developer-publisher,7,8,9365,15,33.75,37.4,81.48
Borderlands - Epic Store,criticism-praise-game-content,16,14,9368,30,17.46,24.85,96.3
Borderlands - Epic Store,is-rating-game-related,7,23,9368,30,17.46,24.85,96.3
Borderlands - Epic Store,criticism-praise-political,0,30,9368,30,17.46,24.85,96.3
Borderlands - Epic Store,criticism-praise-ideological,10,20,9368,30,17.46,24.85,96.3
Borderlands - Epic Store,is-review-bombing,19,11,9368,30,17.46,24.85,96.3
Borderlands - Epic Store,criticism-praise-developer-publisher,17,13,9368,30,17.46,24.85,96.3
Borderlands - Epic Store,is-rating-game-related,18,17,9627,35,30.68,38.84,97.14
Borderlands - Epic Store,is-review-bombing,23,12,9627,35,30.68,38.84,97.14
Borderlands - Epic Store,criticism-praise-game-content,19,16,9627,35,30.68,38.84,97.14
Borderlands - Epic Store,criticism-praise-developer-publisher,16,19,9627,35,30.68,38.84,97.14
Borderlands - Epic Store,criticism-praise-political,0,35,9627,35,30.68,38.84,97.14
Borderlands - Epic Store,criticism-praise-ideological,25,10,9627,35,30.68,38.84,97.14
Borderlands - Epic Store,is-review-bombing,10,10,9754,20,27.11,29.48,88.89
Borderlands - Epic Store,criticism-praise-game-content,12,8,9754,20,27.11,29.48,88.89
Borderlands - Epic Store,is-rating-game-related,12,8,9754,20,27.11,29.48,88.89
Borderlands - Epic Store,criticism-praise-political,0,20,9754,20,27.11,29.48,88.89
Borderlands - Epic Store,criticism-praise-ideological,2,18,9754,20,27.11,29.48,88.89
Borderlands - Epic Store,criticism-praise-developer-publisher,9,11,9754,20,27.11,29.48,88.89
Borderlands - Epic Store,is-rating-game-related,9,11,10389,20,24.12,27.25,100.0
Borderlands - Epic Store,criticism-praise-ideological,8,12,10389,20,24.12,27.25,100.0
Borderlands - Epic Store,criticism-praise-developer-publisher,10,10,10389,20,24.12,27.25,100.0
Borderlands - Epic Store,criticism-praise-political,0,20,10389,20,24.12,27.25,100.0
Borderlands - Epic Store,is-review-bombing,9,11,10389,20,24.12,27.25,100.0
Borderlands - Epic Store,criticism-praise-game-content,10,10,10389,20,24.12,27.25,100.0
Borderlands - Epic Store,is-review-bombing,12,9,11478,21,28.54,46.85,78.31
Borderlands - Epic Store,criticism-praise-ideological,2,19,11478,21,28.54,46.85,78.31
Borderlands - Epic Store,criticism-praise-political,0,21,11478,21,28.54,46.85,78.31
Borderlands - Epic Store,is-rating-game-related,7,14,11478,21,28.54,46.85,78.31
Borderlands - Epic Store,criticism-praise-developer-publisher,15,6,11478,21,28.54,46.85,78.31
Borderlands - Epic Store,criticism-praise-game-content,14,7,11478,21,28.54,46.85,78.31
Borderlands - Epic Store,criticism-praise-ideological,17,13,11790,30,40.35,55.16,74.07
Borderlands - Epic Store,criticism-praise-developer-publisher,16,14,11790,30,40.35,55.16,74.07
Borderlands - Epic Store,criticism-praise-political,0,30,11790,30,40.35,55.16,74.07
Borderlands - Epic Store,criticism-praise-game-content,14,16,11790,30,40.35,55.16,74.07
Borderlands - Epic Store,is-review-bombing,23,7,11790,30,40.35,55.16,74.07
Borderlands - Epic Store,is-rating-game-related,18,12,11790,30,40.35,55.16,74.07
Borderlands - Epic Store,is-rating-game-related,11,19,11926,30,25.74,42.89,77.41
Borderlands - Epic Store,criticism-praise-ideological,0,30,11926,30,25.74,42.89,77.41
Borderlands - Epic Store,is-review-bombing,19,11,11926,30,25.74,42.89,77.41
