project,annotation_question,num_reviews_yes,num_reviews_no,annotator_id,num_annotated_reviews,median_lead_time_annotator_in_s,avg_lead_time_annotator_in_s,avg_agreement_annotator
Firewatch,is-review-bombing,6,9,9365,15,27.9,34.25,85.93
Firewatch,criticism-praise-game-content,13,2,9365,15,27.9,34.25,85.93
Firewatch,is-rating-game-related,14,1,9365,15,27.9,34.25,85.93
Firewatch,criticism-praise-political,2,13,9365,15,27.9,34.25,85.93
Firewatch,criticism-praise-ideological,4,11,9365,15,27.9,34.25,85.93
Firewatch,criticism-praise-developer-publisher,6,9,9365,15,27.9,34.25,85.93
Firewatch,criticism-praise-game-content,20,10,9368,30,13.67,20.44,97.04
Firewatch,is-rating-game-related,14,16,9368,30,13.67,20.44,97.04
Firewatch,criticism-praise-political,0,30,9368,30,13.67,20.44,97.04
Firewatch,criticism-praise-ideological,13,17,9368,30,13.67,20.44,97.04
Firewatch,is-review-bombing,19,11,9368,30,13.67,20.44,97.04
Firewatch,criticism-praise-developer-publisher,19,11,9368,30,13.67,20.44,97.04
Firewatch,is-rating-game-related,18,17,9627,35,30.34,45.69,96.83
Firewatch,is-review-bombing,25,10,9627,35,30.34,45.69,96.83
Firewatch,criticism-praise-game-content,20,15,9627,35,30.34,45.69,96.83
Firewatch,criticism-praise-developer-publisher,20,15,9627,35,30.34,45.69,96.83
Firewatch,criticism-praise-political,4,31,9627,35,30.34,45.69,96.83
Firewatch,criticism-praise-ideological,27,8,9627,35,30.34,45.69,96.83
Firewatch,is-review-bombing,10,10,9754,20,17.71,20.85,86.67
Firewatch,criticism-praise-game-content,17,3,9754,20,17.71,20.85,86.67
Firewatch,is-rating-game-related,17,3,9754,20,17.71,20.85,86.67
Firewatch,criticism-praise-political,1,19,9754,20,17.71,20.85,86.67
Firewatch,criticism-praise-ideological,5,15,9754,20,17.71,20.85,86.67
Firewatch,criticism-praise-developer-publisher,10,10,9754,20,17.71,20.85,86.67
Firewatch,is-rating-game-related,14,6,10389,20,13.49,14.18,100.0
Firewatch,criticism-praise-ideological,8,12,10389,20,13.49,14.18,100.0
Firewatch,criticism-praise-developer-publisher,12,8,10389,20,13.49,14.18,100.0
Firewatch,criticism-praise-political,1,19,10389,20,13.49,14.18,100.0
Firewatch,is-review-bombing,10,10,10389,20,13.49,14.18,100.0
Firewatch,criticism-praise-game-content,16,4,10389,20,13.49,14.18,100.0
Firewatch,is-review-bombing,13,8,11478,21,38.94,43.86,76.19
Firewatch,criticism-praise-ideological,7,14,11478,21,38.94,43.86,76.19
Firewatch,criticism-praise-political,1,20,11478,21,38.94,43.86,76.19
Firewatch,is-rating-game-related,9,12,11478,21,38.94,43.86,76.19
Firewatch,criticism-praise-developer-publisher,9,12,11478,21,38.94,43.86,76.19
Firewatch,criticism-praise-game-content,15,6,11478,21,38.94,43.86,76.19
Firewatch,criticism-praise-ideological,23,7,11790,30,35.41,52.38,78.15
Firewatch,criticism-praise-developer-publisher,19,11,11790,30,35.41,52.38,78.15
Firewatch,criticism-praise-political,5,25,11790,30,35.41,52.38,78.15
Firewatch,criticism-praise-game-content,22,8,11790,30,35.41,52.38,78.15
Firewatch,is-review-bombing,19,11,11790,30,35.41,52.38,78.15
Firewatch,is-rating-game-related,27,3,11790,30,35.41,52.38,78.15
Firewatch,is-rating-game-related,12,18,11926,30,25.09,40.96,79.63
Firewatch,criticism-praise-ideological,15,15,11926,30,25.09,40.96,79.63
Firewatch,is-review-bombing,17,13,11926,30,25.09,40.96,79.63
Firewatch,criticism-praise-game-content,21,9,11926,30,25.09,40.96,79.63
