project,annotation_question,num_reviews_yes,num_reviews_no,annotator_id,num_annotated_reviews,median_lead_time_annotator_in_s,avg_lead_time_annotator_in_s,avg_agreement_annotator
Mortal Kombat 11,is-review-bombing,8,7,9365,15,34.26,34.64,85.19
Mortal Kombat 11,criticism-praise-game-content,15,0,9365,15,34.26,34.64,85.19
Mortal Kombat 11,is-rating-game-related,14,1,9365,15,34.26,34.64,85.19
Mortal Kombat 11,criticism-praise-political,2,13,9365,15,34.26,34.64,85.19
Mortal Kombat 11,criticism-praise-ideological,4,11,9365,15,34.26,34.64,85.19
Mortal Kombat 11,criticism-praise-developer-publisher,8,7,9365,15,34.26,34.64,85.19
Mortal Kombat 11,criticism-praise-game-content,20,10,9368,30,24.24,38.13,95.93
Mortal Kombat 11,is-rating-game-related,11,19,9368,30,24.24,38.13,95.93
Mortal Kombat 11,criticism-praise-political,2,28,9368,30,24.24,38.13,95.93
Mortal Kombat 11,criticism-praise-ideological,14,16,9368,30,24.24,38.13,95.93
Mortal Kombat 11,is-review-bombing,21,9,9368,30,24.24,38.13,95.93
Mortal Kombat 11,criticism-praise-developer-publisher,18,12,9368,30,24.24,38.13,95.93
Mortal Kombat 11,is-rating-game-related,24,11,9627,35,42.0,46.23,96.83
Mortal Kombat 11,is-review-bombing,23,12,9627,35,42.0,46.23,96.83
Mortal Kombat 11,criticism-praise-game-content,23,12,9627,35,42.0,46.23,96.83
Mortal Kombat 11,criticism-praise-developer-publisher,15,20,9627,35,42.0,46.23,96.83
Mortal Kombat 11,criticism-praise-political,1,34,9627,35,42.0,46.23,96.83
Mortal Kombat 11,criticism-praise-ideological,28,7,9627,35,42.0,46.23,96.83
Mortal Kombat 11,is-review-bombing,11,9,9754,20,23.28,23.91,81.67
Mortal Kombat 11,criticism-praise-game-content,17,3,9754,20,23.28,23.91,81.67
Mortal Kombat 11,is-rating-game-related,20,0,9754,20,23.28,23.91,81.67
Mortal Kombat 11,criticism-praise-political,1,19,9754,20,23.28,23.91,81.67
Mortal Kombat 11,criticism-praise-ideological,12,8,9754,20,23.28,23.91,81.67
