project,annotation_question,num_reviews_yes,num_reviews_no,annotator_id,num_annotated_reviews,median_lead_time_annotator_in_s,avg_lead_time_annotator_in_s,avg_agreement_annotator
Skyrim - Paid Mods,is-review-bombing,15,0,9365,15,51.2,61.49,75.56
Skyrim - Paid Mods,criticism-praise-game-content,7,8,9365,15,51.2,61.49,75.56
Skyrim - Paid Mods,is-rating-game-related,10,5,9365,15,51.2,61.49,75.56
Skyrim - Paid Mods,criticism-praise-political,0,15,9365,15,51.2,61.49,75.56
Skyrim - Paid Mods,criticism-praise-ideological,5,10,9365,15,51.2,61.49,75.56
Skyrim - Paid Mods,criticism-praise-developer-publisher,10,5,9365,15,51.2,61.49,75.56
Skyrim - Paid Mods,criticism-praise-game-content,10,20,9368,30,35.94,42.78,97.78
Skyrim - Paid Mods,is-rating-game-related,8,22,9368,30,35.94,42.78,97.78
Skyrim - Paid Mods,criticism-praise-political,1,29,9368,30,35.94,42.78,97.78
Skyrim - Paid Mods,criticism-praise-ideological,21,9,9368,30,35.94,42.78,97.78
Skyrim - Paid Mods,is-review-bombing,25,5,9368,30,35.94,42.78,97.78
Skyrim - Paid Mods,criticism-praise-developer-publisher,24,6,9368,30,35.94,42.78,97.78
Skyrim - Paid Mods,is-rating-game-related,18,17,9627,35,40.2,50.39,95.87
Skyrim - Paid Mods,is-review-bombing,27,8,9627,35,40.2,50.39,95.87
Skyrim - Paid Mods,criticism-praise-game-content,21,14,9627,35,40.2,50.39,95.87
Skyrim - Paid Mods,criticism-praise-developer-publisher,20,15,9627,35,40.2,50.39,95.87
Skyrim - Paid Mods,criticism-praise-political,0,35,9627,35,40.2,50.39,95.87
Skyrim - Paid Mods,criticism-praise-ideological,27,8,9627,35,40.2,50.39,95.87
Skyrim - Paid Mods,is-review-bombing,19,1,9754,20,32.18,41.57,76.67
Skyrim - Paid Mods,criticism-praise-game-content,12,8,9754,20,32.18,41.57,76.67
Skyrim - Paid Mods,is-rating-game-related,12,8,9754,20,32.18,41.57,76.67
Skyrim - Paid Mods,criticism-praise-political,0,20,9754,20,32.18,41.57,76.67
Skyrim - Paid Mods,criticism-praise-ideological,8,12,9754,20,32.18,41.57,76.67
Skyrim - Paid Mods,criticism-praise-developer-publisher,15,5,9754,20,32.18,41.57,76.67
Skyrim - Paid Mods,is-rating-game-related,3,17,10389,20,20.61,25.96,100.0
Skyrim - Paid Mods,criticism-praise-ideological,11,9,10389,20,20.61,25.96,100.0
Skyrim - Paid Mods,criticism-praise-developer-publisher,14,6,10389,20,20.61,25.96,100.0
Skyrim - Paid Mods,criticism-praise-political,1,19,10389,20,20.61,25.96,100.0
Skyrim - Paid Mods,is-review-bombing,17,3,10389,20,20.61,25.96,100.0
Skyrim - Paid Mods,criticism-praise-game-content,7,13,10389,20,20.61,25.96,100.0
Skyrim - Paid Mods,is-review-bombing,20,1,11478,21,49.82,55.41,71.96
