project,id,game_name_display,review,review_date,combined_rating,annotation_certainty,num_annotators,is-review-bombing,is-rating-game-related,criticism-praise-game-content,criticism-praise-developer-publisher,criticism-praise-ideological,criticism-praise-political,review_bomb_reason,review_bomb_type,source,rating,input_ids,review_length
Assassin's Creed Unity,91871035,Assassin's Creed Unity,Notre Dame,22.04.2019 00:37:35,Empfohlen,55.55555555555555,3,Ja,Nein,Nein,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,[  101 10289  8214   102],7
Assassin's Creed Unity,91871036,Assassin's Creed Unity,Goodguy Ubi!,23.04.2019 16:31:55,Empfohlen,88.8888888888889,3,Ja,Nein,Nein,Ja,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,[  101  2204 12193  2100  1057  5638   999   102],16
Assassin's Creed Unity,91871037,Assassin's Creed Unity,"One of my favorite assassin's creed game. The game have the best parkour from all (AC Games) and has impressive graphics. The story is good. Its not a secret that the game is buggy but the bugs are funny. The Arno's personage is very good between Edward from AC Black Flag and Ezio from AC 2 II. 

Overall 8/10.",21.04.2019 22:19:02,Empfohlen,77.77777777777777,3,Nein,Ja,Ja,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,"[  101  2028  1997  2026  5440 12025  1005  1055 16438  2208  1012  1996
  2208  2031  1996  2190  2380  8162  2013  2035  1006  9353  2399  1007
  1998  2038  8052  8389  1012  1996  2466  2003  2204  1012  2049  2025
  1037  3595  2008  1996  2208  2003 11829  6292  2021  1996 12883  2024
  6057  1012  1996 12098  3630  1005  1055 16115  3351  2003  2200  2204
  2090  3487  2013  9353  2304  5210  1998 23043  2013  9353  1016  2462
  1012  3452  1022  1013  2184  1012   102]",151
Assassin's Creed Unity,91871038,Assassin's Creed Unity,One of the best AC games were Ubisoft actually got it right. It's fun and doesn't take 84 years to finish. The only downside is the microtransactions.,10.05.2019,Empfohlen,88.88888888888889,3,Nein,Ja,Ja,Ja,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Metacritic,10.0,"[  101  2028  1997  1996  2190  9353  2399  2020  1057 18477 15794  2941
  2288  2009  2157  1012  2009  1005  1055  4569  1998  2987  1005  1056
  2202  6391  2086  2000  3926  1012  1996  2069 12482  5178  2003  1996
 12702  6494  3619 18908  8496  1012   102]",81
Assassin's Creed Unity,91871039,Assassin's Creed Unity,"Great game, 8.5/10",01.07.2019 14:59:16,Empfohlen,77.77777777777777,3,Nein,Ja,Ja,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,[ 101 2307 2208 1010 1022 1012 1019 1013 2184  102],10
Assassin's Creed Unity,91871040,Assassin's Creed Unity,Very smooth gameplay and good customization.,22.04.2019 19:38:54,Empfohlen,88.88888888888889,3,Nein,Ja,Ja,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,[  101  2200  5744 11247  1998  2204  7661  3989  1012   102],19
Assassin's Creed Unity,91871041,Assassin's Creed Unity,"Has the word ""ass"" twice in the title. I like.",29.06.2019 18:45:50,Empfohlen,77.77777777777779,3,Nein,Nein,Nein,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,"[ 101 2038 1996 2773 1000 4632 1000 3807 1999 1996 2516 1012 1045 2066
 1012  102]",16
Assassin's Creed Unity,91871042,Assassin's Creed Unity,pray for notre dame,06.07.2019 18:03:27,Empfohlen,77.77777777777777,3,Ja,Nein,Nein,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,[  101 11839  2005 10289  8214   102],10
Assassin's Creed Unity,91871043,Assassin's Creed Unity,Expect a remake like assassin's creed iii,16.04.2019 11:39:20,Empfohlen,88.88888888888889,3,Nein,Nein,Nein,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,[  101  5987  1037 12661  2066 12025  1005  1055 16438  3523   102],19
Assassin's Creed Unity,91871044,Assassin's Creed Unity,ah hell yeah,17.04.2019 20:52:40,Empfohlen,77.77777777777779,3,Nein,Nein,Nein,Nein,Nein,Nein,"Nach dem Brand in der Notre-Dame, die in Assassin's Creed Unity virtuell nachgebildet ist, entschied Entwickler ""Ubisoft"" das Spiel daraufhin für eine Woche kostenlos auf ihrer Uplay-Plattform zur Verfügung zu stellen und 500.000€ für den Wiederaufbau der Notre-Dame zu spenden. Dies führte innerhalb kurzer Zeit zu einer deutlich gestiegenen Zahl an Spielern und positiven Bewertungen.",positiv,Steam,,[ 101 6289 3109 3398  102],5
