project,id,game_name_display,review,review_date,combined_rating,annotation_certainty,is-review-bombing,is-rating-game-related,criticism-praise-game-content,criticism-praise-developer-publisher,criticism-praise-ideological,criticism-praise-political,review_bomb_reason,review_bomb_type,source,rating,input_ids,review_length
Firewatch,91871430,Firewatch,This is basically a walking simulator.  Stay away.,17.09.2017 01:15:39,Nicht empfohlen,77.77777777777777,Nein,Ja,Ja,Nein,Nein,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,[  101  2023  2003 10468  1037  3788 25837  1012  2994  2185  1012   102],22
Firewatch,91871431,Firewatch,"This game is one of those moments where I wish there was an option between ""Yes"" and ""No"". The game's art is all very nice, the voice acting is well done and the start of the game has a very interesting and compelling story. Sadly it all goes down hill the nearer you get to the end resulting in a weak ending compared to how strong the game started off.",20.09.2017 03:28:51,Nicht empfohlen,88.88888888888889,Nein,Ja,Ja,Nein,Nein,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101  2023  2208  2003  2028  1997  2216  5312  2073  1045  4299  2045
  2001  2019  5724  2090  1000  2748  1000  1998  1000  2053  1000  1012
  1996  2208  1005  1055  2396  2003  2035  2200  3835  1010  1996  2376
  3772  2003  2092  2589  1998  1996  2707  1997  1996  2208  2038  1037
  2200  5875  1998 17075  2466  1012 13718  2009  2035  3632  2091  2940
  1996 20388  2017  2131  2000  1996  2203  4525  1999  1037  5410  4566
  4102  2000  2129  2844  1996  2208  2318  2125  1012   102]",161
Firewatch,91871432,Firewatch,"Boring game. Good dialogue.
Dont want these kinds of developers in this media.
",15.09.2017 02:33:25,Nicht empfohlen,100.0,Ja,Ja,Ja,Ja,Ja,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101 11771  2208  1012  2204  7982  1012  2123  2102  2215  2122  7957
  1997  9797  1999  2023  2865  1012   102]",37
Firewatch,91871433,Firewatch,"Not a single people of color. The only woman (who is also invisible) doesn't keep her promise and is an alcoholic. Full with lot of very bad prejudices.

Don't buy this game if you really care just a little bit about human rights.",13.09.2017 17:22:49,Nicht empfohlen,55.55555555555556,Nein,Nein,Nein,Nein,Ja,Ja,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101  2025  1037  2309  2111  1997  3609  1012  1996  2069  2450  1006
  2040  2003  2036  8841  1007  2987  1005  1056  2562  2014  4872  1998
  2003  2019 14813  1012  2440  2007  2843  1997  2200  2919 18024  2015
  1012  2123  1005  1056  4965  2023  2208  2065  2017  2428  2729  2074
  1037  2210  2978  2055  2529  2916  1012   102]",110
Firewatch,91871434,Firewatch,"Good game, but suffers from a poor ending. Also, childish and inconsistent developer.",14.09.2017 19:17:34,Nicht empfohlen,77.77777777777777,Ja,Ja,Ja,Ja,Ja,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101  2204  2208  1010  2021 17567  2013  1037  3532  4566  1012  2036
  1010 24282  1998 20316  9722  1012   102]",35
Firewatch,91871435,Firewatch,"As you would expect, Wyoming is just as boring in a video game, as it is in real life.",13.09.2017 17:43:31,Nicht empfohlen,55.55555555555555,Nein,Ja,Ja,Nein,Ja,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101  2004  2017  2052  5987  1010 10622  2003  2074  2004 11771  1999
  1037  2678  2208  1010  2004  2009  2003  1999  2613  2166  1012   102]",46
Firewatch,91871436,Firewatch,"Nice game, worst developers. Trying to get benefit of "" OH WE ARE NOT SUPPORTING RACISM, BUY OUR GAMES !!!! "" 

"" OH MY GOD YOU SEEN PEWDS ??? HE SAID N WORD WHICH IS USED BY ALL THE BLACK PEOPLE BY THEM SELF. BUT HEY LETS TAKE A DMCA TAKEDOWN ON PEWDS  SO WE CAN BENEFITTT ""

You guys know that in south park's new game, game diffuculty gets harder when you change your skin color to black ? 
Can you guys take a DMCA takedown on South Park too ?  This just hard idiotic !",13.09.2017 01:02:45,Nicht empfohlen,66.66666666666666,Ja,Ja,Ja,Ja,Ja,Ja,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101  3835  2208  1010  5409  9797  1012  2667  2000  2131  5770  1997
  1000  2821  2057  2024  2025  4637 14398  1010  4965  2256  2399   999
   999   999   999  1000  1000  2821  2026  2643  2017  2464 29071  5104
  1029  1029  1029  2002  2056  1050  2773  2029  2003  2109  2011  2035
  1996  2304  2111  2011  2068  2969  1012  2021  4931 11082  2202  1037
  1040 12458  2050  2202  7698  2006 29071  5104  2061  2057  2064  5770
  4779  1000  2017  4364  2113  2008  1999  2148  2380  1005  1055  2047
  2208  1010  2208  4487  4246 14194 11314  2100  4152  6211  2043  2017
  2689  2115  3096  3609  2000  2304  1029  2064  2017  4364  2202  1037
  1040 12458  2050  2202  7698  2006  2148  2380  2205  1029  2023  2074
  2524 10041  2594   999   102]",246
Firewatch,91871437,Firewatch,"Issued a refund immediately after I heard what Sean Vanaman did to a streamer. A butthurt, immature, and hypocritical person who abused his power to issue a copyright strike to Pewdiepie for the sole purpose of not liking his personality. Never ever supporting this kind of man, not to mention how mediocre and rushed this game was. His actions just caused a lot of controversy for other streamers as well.",14.09.2017,Nicht empfohlen,77.77777777777777,Ja,Nein,Nein,Ja,Ja,Ja,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Metacritic,0.0,"[  101  3843  1037 25416  8630  3202  2044  1045  2657  2054  5977  3158
 23093  2106  2000  1037  5460  2121  1012  1037 10007 24572  2102  1010
 26838  1010  1998  1044 22571 10085 14778  7476  2711  2040 16999  2010
  2373  2000  3277  1037  9385  4894  2000 29071 10265 14756  2005  1996
  7082  3800  1997  2025 16663  2010  6180  1012  2196  2412  4637  2023
  2785  1997  2158  1010  2025  2000  5254  2129 19960  3695 16748  1998
  6760  2023  2208  2001  1012  2010  4506  2074  3303  1037  2843  1997
  6704  2005  2060  5460  2545  2004  2092  1012   102]",171
Firewatch,91871438,Firewatch,Developers that abuse the law to try and destroy someone else's career should go bankrupt. Plain and simple.,15.09.2017 02:10:37,Nicht empfohlen,77.77777777777777,Ja,Nein,Nein,Ja,Ja,Ja,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101  9797  2008  6905  1996  2375  2000  3046  1998  6033  2619  2842
  1005  1055  2476  2323  2175 17482  1012  5810  1998  3722  1012   102]",47
Firewatch,91871439,Firewatch,3 hours of linear story with good voice acting but no replayability. DON'T pay full price.,21.09.2017 22:15:36,Nicht empfohlen,88.88888888888889,Nein,Ja,Ja,Nein,Nein,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101  1017  2847  1997  7399  2466  2007  2204  2376  3772  2021  2053
 15712  8010  1012  2123  1005  1056  3477  2440  3976  1012   102]",45
Firewatch,91871440,Firewatch,too short,13.09.2017 16:57:48,Nicht empfohlen,100.0,Nein,Ja,Ja,Nein,Nein,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,[ 101 2205 2460  102],4
Firewatch,91871441,Firewatch,"the developers are people that would sue a innocent person, just because they don't like them. The game is a walking simulator and if you really wanna play a walking simulator  you would be beater of playing something like valley",13.09.2017,Nicht empfohlen,100.0,Ja,Ja,Ja,Ja,Nein,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Metacritic,0.0,"[  101  1996  9797  2024  2111  2008  2052  9790  1037  7036  2711  1010
  2074  2138  2027  2123  1005  1056  2066  2068  1012  1996  2208  2003
  1037  3788 25837  1998  2065  2017  2428 10587  2377  1037  3788 25837
  2017  2052  2022  3786  2121  1997  2652  2242  2066  3028   102]",91
Firewatch,91871442,Firewatch,"Complete borefest, give this one a miss!",20.09.2017 09:15:33,Nicht empfohlen,100.0,Nein,Ja,Ja,Nein,Nein,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,[  101  3143  8501 14081  1010  2507  2023  2028  1037  3335   999   102],24
Firewatch,91871443,Firewatch,Sluggish. :/ I realised I haven't finished this since I bought it ages ago.,14.09.2017 08:27:23,Nicht empfohlen,100.0,Nein,Ja,Ja,Nein,Nein,Nein,"Die Entwickler ""Campo Santo"" reichten eine DMCA-Beschwerde gegen ein Video ein, das der bekannte YouTuber ""PewDiePie"" zu Firewatch gemacht hatte (d.h. er wurde gezwungen, das Video zu entfernen), nachdem PewDiePie während eines seiner Livestreams eine rassistische Bemerkung geäußert hatte. Viele Spieler gaben daraufhin negative Bewertungen zu Firewatch ab und bezeichneten die Entwickler als ""Social Justice Warrior"" (SJW), oder behaupteten sie würden Zensur unterstützen.",negativ,Steam,,"[  101 23667 17701  2232  1012  1024  1013  1045 11323  1045  4033  1005
  1056  2736  2023  2144  1045  4149  2009  5535  3283  1012   102]",43
