project,id,game_name_display,review,review_date,combined_rating,annotation_certainty,num_annotators,is-review-bombing,is-rating-game-related,criticism-praise-game-content,criticism-praise-developer-publisher,criticism-praise-ideological,criticism-praise-political,review_bomb_reason,review_bomb_type,source,rating,input_ids,review_length
Skyrim - Paid Mods,91872600,The Elder Scrolls V: Skyrim,"WTF?? Do not show your support for this greed ,unbelievable !!!",24.04.2015 17:51:10,Nicht empfohlen,77.77777777777777,3,Ja,Nein,Nein,Ja,Ja,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,"[  101  1059 24475  1029  1029  2079  2025  2265  2115  2490  2005  2023
 22040  1010 23653   999   999   999   102]",38
Skyrim - Paid Mods,91872601,The Elder Scrolls V: Skyrim,"You are destroying the what mods are for, mods should be free. Mods are made by people who want to help give people a better experience, by making people charge for mods you are splitting the modding community in 2 halfs, please don't ruin what it means to be a modder, and because of this I am bringing my vote to a no, I no longer recomend this game to ANYONE

Edit: My review is staying negitive forever, I do not care what they say ""they wanted to support the modder"" it is clear they just wanted to earn a profit, no matter what they said they've not even talked about a donate button, a donate button would've been perfect but no you wanted money and do not care about this community, I loved your games and I still do, but I have now just lost faith in value and bethesada, I really thought you guys cared about the modders and the gamers who buy your games, but you just keep wanting our money, so I just no longer like your company and I don't even think I'll ever buy another one of your games",25.04.2015 22:35:05,Nicht empfohlen,66.66666666666666,3,Ja,Nein,Nein,Ja,Ja,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,"[  101  2017  2024  9846  1996  2054 16913  2015  2024  2005  1010 16913
  2015  2323  2022  2489  1012 16913  2015  2024  2081  2011  2111  2040
  2215  2000  2393  2507  2111  1037  2488  3325  1010  2011  2437  2111
  3715  2005 16913  2015  2017  2024 14541  1996 16913  4667  2451  1999
  1016  2431  2015  1010  3531  2123  1005  1056 10083  2054  2009  2965
  2000  2022  1037 16913  4063  1010  1998  2138  1997  2023  1045  2572
  5026  2026  3789  2000  1037  2053  1010  1045  2053  2936 28667  8462
  4859  2023  2208  2000  3087 10086  1024  2026  3319  2003  6595 11265
 23806  3512  5091  1010  1045  2079  2025  2729  2054  2027  2360  1000
  2027  2359  2000  2490  1996 16913  4063  1000  2009  2003  3154  2027
  2074  2359  2000  7796  1037  5618  1010  2053  3043  2054  2027  2056
  2027  1005  2310  2025  2130  5720  2055  1037 21357  6462  1010  1037
 21357  6462  2052  1005  2310  2042  3819  2021  2053  2017  2359  2769
  1998  2079  2025  2729  2055  2023  2451  1010  1045  3866  2115  2399
  1998  1045  2145  2079  1010  2021  1045  2031  2085  2074  2439  4752
  1999  3643  1998  7014 22447  2850  1010  1045  2428  2245  2017  4364
  8725  2055  1996 16913 13375  1998  1996 27911  2015  2040  4965  2115
  2399  1010  2021  2017  2074  2562  5782  2256  2769  1010  2061  1045
  2074  2053  2936  2066  2115  2194  1998  1045  2123  1005  1056  2130
  2228  1045  1005  2222  2412  4965  2178  2028  1997  2115  2399   102]",461
Skyrim - Paid Mods,91872602,The Elder Scrolls V: Skyrim,"Once Valve and Bethesda get their respective shit together, and stop allowing modders to charge for their mods, I will reverse my negative review.",27.04.2015 09:53:03,Nicht empfohlen,77.77777777777777,3,Ja,Nein,Nein,Ja,Ja,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,"[  101  2320 10764  1998  7014  2229  2850  2131  2037  7972  4485  2362
  1010  1998  2644  4352 16913 13375  2000  3715  2005  2037 16913  2015
  1010  1045  2097  7901  2026  4997  3319  1012   102]",62
Skyrim - Paid Mods,91872603,The Elder Scrolls V: Skyrim,How to ruin your public image 101,27.04.2015 02:19:17,Nicht empfohlen,77.77777777777779,3,Ja,Nein,Nein,Ja,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,[  101  2129  2000 10083  2115  2270  3746  7886   102],17
Skyrim - Paid Mods,91872604,The Elder Scrolls V: Skyrim,"Don't pay for mods. Don't give Valve, or Bethesda, money for content they did not create. The entire notion of this system is shameful, disgusting, and insulting to the community that helped bring their mediocre franchise up to a legendary series.",26.04.2015,Nicht empfohlen,66.66666666666666,3,Ja,Nein,Nein,Ja,Ja,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Metacritic,0.0,"[  101  2123  1005  1056  3477  2005 16913  2015  1012  2123  1005  1056
  2507 10764  1010  2030  7014  2229  2850  1010  2769  2005  4180  2027
  2106  2025  3443  1012  1996  2972  9366  1997  2023  2291  2003  9467
  3993  1010 19424  1010  1998 23979  2000  1996  2451  2008  3271  3288
  2037 19960  3695 16748  6329  2039  2000  1037  8987  2186  1012   102]",114
Skyrim - Paid Mods,91872605,The Elder Scrolls V: Skyrim,I liked this game up until the payed mods that increased the life of this old game.,27.04.2015 00:14:59,Nicht empfohlen,55.55555555555556,3,Ja,Nein,Ja,Ja,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,"[  101  1045  4669  2023  2208  2039  2127  1996  3477  2098 16913  2015
  2008  3445  1996  2166  1997  2023  2214  2208  1012   102]",43
Skyrim - Paid Mods,91872606,The Elder Scrolls V: Skyrim,"""New ways to support mod creation,"" more like, ""New ways to bring demise to PC gaming.""",24.04.2015 15:19:08,Nicht empfohlen,77.77777777777777,3,Ja,Nein,Nein,Ja,Ja,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,"[  101  1000  2047  3971  2000  2490 16913  4325  1010  1000  2062  2066
  1010  1000  2047  3971  2000  3288 13614  2000  7473 10355  1012  1000
   102]",47
Skyrim - Paid Mods,91872607,The Elder Scrolls V: Skyrim,awful game. it is clearly unfinished and boring to play.,25.04.2015 17:34:28,Nicht empfohlen,88.88888888888889,3,Nein,Ja,Ja,Nein,Nein,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,"[  101  9643  2208  1012  2009  2003  4415 14342  1998 11771  2000  2377
  1012   102]",26
Skyrim - Paid Mods,91872608,The Elder Scrolls V: Skyrim,"I sure do love all this third party DLC! Yessiree, paid mods was a FANTASTIC IDEA! If you want to play this game I'd recommend you get it from **** or something. Don't give Bethesda or Valve any money, the **** don't deserve it.",26.04.2015,Nicht empfohlen,66.66666666666666,3,Ja,Nein,Nein,Ja,Ja,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Metacritic,0.0,"[  101  1045  2469  2079  2293  2035  2023  2353  2283 21469  2278   999
  2748 29481  4402  1010  3825 16913  2015  2001  1037 10392  2801   999
  2065  2017  2215  2000  2377  2023  2208  1045  1005  1040 16755  2017
  2131  2009  2013  1008  1008  1008  1008  2030  2242  1012  2123  1005
  1056  2507  7014  2229  2850  2030 10764  2151  2769  1010  1996  1008
  1008  1008  1008  2123  1005  1056 10107  2009  1012   102]",135
Skyrim - Paid Mods,91872609,The Elder Scrolls V: Skyrim,"I honestly don't think this little negative review will change anything but if I can add a little bit of volume to the raging sea right now, I will. Add a ""donate"" button and make it huge on the page. Make sure people know modders work hard and they like doing it. Don't add a pay wall for things that should be free. Christ.",24.04.2015 06:11:23,Nicht empfohlen,77.77777777777779,3,Ja,Nein,Nein,Ja,Ja,Nein,"Die Entwickler ""Bethesda"" versuchten bezahlte Mods für Skyrim im Steam-Workshop einzuführen, d.h. kostenpflichtige Zusatzinhalte, die direkt über Steam für das Spiel heruntergeladen werden konnten. Allerdings sollten dabei nur 25 % der Einnahmen an die Entwickler der Mods gehen und der Rest an Bethesda und Valve (der Firma hinter Steam). Da das von vielen Spielern als Versuch der Entwickler gesehen wurde, von der Arbeit der Modder selbst zu profitieren, und viele der Meinung waren, Mods sollten grundsätzlich kostenlos sein, hinterließen einige negative Reviews für Skyrim.",negativ,Steam,,"[  101  1045  9826  2123  1005  1056  2228  2023  2210  4997  3319  2097
  2689  2505  2021  2065  1045  2064  5587  1037  2210  2978  1997  3872
  2000  1996 17559  2712  2157  2085  1010  1045  2097  1012  5587  1037
  1000 21357  1000  6462  1998  2191  2009  4121  2006  1996  3931  1012
  2191  2469  2111  2113 16913 13375  2147  2524  1998  2027  2066  2725
  2009  1012  2123  1005  1056  5587  1037  3477  2813  2005  2477  2008
  2323  2022  2489  1012  4828  1012   102]",154
